ndvi_id,latitude,longitude,date,ndvi,vegetation_health
NDVI00071,19.847706,74.511282,2024-12-25,-0.048,Bare/Water
NDVI00072,19.837843,74.350875,2024-05-08,0.238,Sparse
NDVI00073,19.820769,74.496893,2016-10-08,0.472,Moderate
NDVI00074,19.868901,74.460686,2022-02-12,0.03,Bare/Water
NDVI00075,19.805213,74.577286,2024-02-07,0.112,Sparse
NDVI00076,19.898489,74.536352,2016-12-21,0.085,Bare/Water
NDVI00077,19.834272,74.508674,2023-12-24,0.095,Bare/Water
NDVI00078,19.81536,74.472544,2022-03-03,0.04,Bare/Water
NDVI00079,19.889515,74.535795,2022-03-30,0.118,Sparse
NDVI00080,19.933671,74.393471,2019-09-19,0.398,Moderate
NDVI00081,19.857182,74.462283,2017-07-12,0.775,Very Healthy
NDVI00082,19.915135,74.360317,2026-02-06,0.062,Bare/Water
NDVI00083,19.894127,74.351804,2022-06-29,0.407,Moderate
NDVI00084,19.815536,74.429729,2017-10-15,0.339,Moderate
NDVI00085,19.867429,74.585537,2018-01-10,-0.153,Bare/Water
NDVI00086,19.923798,74.438118,2024-02-04,-0.089,Bare/Water
NDVI00087,19.929993,74.48421,2021-05-07,-0.011,Bare/Water
NDVI00088,19.935376,74.54107,2025-03-06,0.02,Bare/Water
NDVI00089,19.80006,74.352986,2019-05-15,0.066,Bare/Water
NDVI00090,19.821394,74.464445,2023-08-05,0.467,Moderate
NDVI00091,19.801697,74.575139,2020-11-12,0.37,Moderate
NDVI00092,19.857012,74.589475,2023-05-20,0.31,Moderate
NDVI00093,19.949714,74.474303,2016-10-07,0.501,Healthy
NDVI00094,19.888333,74.528159,2019-09-20,0.647,Healthy
NDVI00095,19.846235,74.487664,2024-01-04,0.266,Sparse
NDVI00096,19.912043,74.557605,2022-12-24,0.276,Sparse
NDVI00097,19.824305,74.413935,2018-03-30,0.056,Bare/Water
NDVI00098,19.93173,74.362725,2021-12-28,0.075,Bare/Water
NDVI00099,19.806404,74.464282,2019-04-25,-0.018,Bare/Water
NDVI00100,19.840834,74.426549,2022-06-01,0.213,Sparse
NDVI00101,19.915849,74.597894,2024-10-30,0.277,Sparse
NDVI00102,19.884984,74.589325,2019-03-06,0.191,Sparse
NDVI00103,19.832847,74.479782,2023-10-10,0.419,Moderate
NDVI00104,19.835747,74.419339,2017-12-05,0.186,Sparse
NDVI00105,19.906644,74.472451,2021-05-28,0.166,Sparse
NDVI00106,19.944645,74.44474,2019-07-19,0.437,Moderate
NDVI00107,19.930675,74.35478,2023-12-13,0.482,Moderate
NDVI00108,19.933798,74.366829,2020-07-20,0.557,Healthy
NDVI00109,19.915798,74.558786,2020-10-14,0.55,Healthy
NDVI00110,19.927722,74.358659,2025-07-10,0.459,Moderate
NDVI00111,19.839327,74.405894,2025-06-21,0.393,Moderate
NDVI00112,19.929578,74.568719,2025-02-28,-0.256,Bare/Water
NDVI00113,19.805994,74.448822,2018-08-17,0.684,Healthy
NDVI00114,19.944813,74.516494,2021-11-03,0.133,Sparse
NDVI00115,19.930513,74.466322,2023-03-03,-0.096,Bare/Water
NDVI00116,19.900068,74.524721,2022-03-10,0.007,Bare/Water
NDVI00117,19.925632,74.426189,2018-11-26,0.426,Moderate
NDVI00118,19.839407,74.365332,2024-03-02,0.179,Sparse
NDVI00119,19.9254,74.397233,2019-09-13,0.57,Healthy
NDVI00120,19.887318,74.456947,2019-07-28,0.605,Healthy
NDVI00121,19.867315,74.587371,2024-08-01,0.485,Moderate
NDVI00122,19.948229,74.544326,2019-12-12,0.384,Moderate
NDVI00123,19.869406,74.430847,2025-12-29,0.089,Bare/Water
NDVI00124,19.856244,74.529279,2025-01-16,-0.105,Bare/Water
NDVI00125,19.871791,74.351314,2020-01-10,-0.184,Bare/Water
NDVI00126,19.900095,74.407737,2022-10-06,0.514,Healthy
NDVI00127,19.910844,74.361166,2026-01-25,-0.031,Bare/Water
NDVI00128,19.896588,74.461337,2019-12-19,-0.052,Bare/Water
NDVI00129,19.824254,74.589052,2021-11-01,0.472,Moderate
NDVI00130,19.896575,74.357321,2017-06-09,0.369,Moderate
NDVI00131,19.822177,74.515775,2021-05-14,0.011,Bare/Water
NDVI00132,19.821754,74.57114,2020-06-02,0.257,Sparse
NDVI00133,19.86334,74.381522,2024-07-03,0.608,Healthy
NDVI00134,19.901418,74.396056,2024-11-15,0.429,Moderate
NDVI00135,19.825079,74.360806,2020-03-12,-0.201,Bare/Water
NDVI00136,19.874422,74.449122,2026-02-16,0.254,Sparse
NDVI00137,19.825515,74.450978,2018-02-01,-0.148,Bare/Water
NDVI00138,19.804064,74.51141,2023-06-30,0.296,Sparse
NDVI00139,19.949699,74.415305,2021-01-28,-0.269,Bare/Water
NDVI00140,19.919243,74.526167,2023-11-03,0.465,Moderate
NDVI00141,19.875311,74.360847,2019-12-23,-0.042,Bare/Water
NDVI00142,19.928242,74.526084,2021-11-29,0.363,Moderate
NDVI00143,19.819809,74.513507,2016-08-25,0.549,Healthy
NDVI00144,19.906409,74.505786,2018-04-10,0.213,Sparse
NDVI00145,19.870627,74.475065,2017-12-14,0.148,Sparse
NDVI00146,19.903241,74.443554,2023-09-23,0.669,Healthy
NDVI00147,19.818281,74.548664,2018-06-21,0.186,Sparse
NDVI00148,19.892626,74.563978,2022-01-25,-0.277,Bare/Water
NDVI00149,19.865953,74.408234,2021-12-20,0.32,Moderate
NDVI00150,19.925151,74.595436,2023-10-21,0.539,Healthy
NDVI00151,19.882293,74.543543,2026-01-27,-0.144,Bare/Water
NDVI00152,19.920938,74.474873,2022-07-25,0.726,Very Healthy
NDVI00153,19.818115,74.567037,2022-03-15,-0.129,Bare/Water
NDVI00154,19.85127,74.553624,2019-04-10,-0.079,Bare/Water
NDVI00155,19.853612,74.403076,2019-10-04,0.385,Moderate
NDVI00156,19.836352,74.595597,2024-02-19,-0.036,Bare/Water
NDVI00157,19.834033,74.511697,2024-10-16,0.305,Moderate
NDVI00158,19.924388,74.54904,2024-10-27,0.293,Sparse
NDVI00159,19.946998,74.477911,2022-06-14,0.084,Bare/Water
NDVI00160,19.836744,74.592019,2018-03-21,-0.085,Bare/Water
NDVI00161,19.897513,74.434113,2025-02-20,-0.187,Bare/Water
NDVI00162,19.813563,74.449685,2025-08-18,0.405,Moderate
NDVI00163,19.860669,74.425862,2021-03-09,-0.135,Bare/Water
NDVI00164,19.866034,74.369238,2017-04-28,0.052,Bare/Water
NDVI00165,19.908337,74.518922,2023-04-05,-0.165,Bare/Water
NDVI00166,19.868189,74.384798,2025-09-27,0.426,Moderate
NDVI00167,19.817085,74.436302,2020-10-01,0.598,Healthy
NDVI00168,19.872157,74.510051,2021-01-25,0.088,Bare/Water
NDVI00169,19.931375,74.430071,2021-05-20,0.146,Sparse
NDVI00170,19.897351,74.475052,2018-09-02,0.621,Healthy
NDVI00171,19.943801,74.374121,2024-06-24,0.509,Healthy
NDVI00172,19.87381,74.562214,2016-08-12,0.73,Very Healthy
NDVI00173,19.930304,74.583163,2017-11-20,0.194,Sparse
NDVI00174,19.898127,74.596052,2020-12-15,0.239,Sparse
NDVI00175,19.929979,74.434618,2024-05-14,0.154,Sparse
NDVI00176,19.933474,74.557381,2021-03-24,-0.075,Bare/Water
NDVI00177,19.812162,74.410637,2024-04-22,-0.086,Bare/Water
NDVI00178,19.900817,74.455584,2017-01-07,0.286,Sparse
NDVI00179,19.898711,74.533649,2019-07-10,0.508,Healthy
NDVI00180,19.835471,74.431431,2026-06-12,0.166,Sparse
NDVI00181,19.87433,74.534368,2020-09-03,0.446,Moderate
NDVI00182,19.855406,74.54364,2021-07-09,0.404,Moderate
NDVI00183,19.870225,74.453714,2019-04-28,0.254,Sparse
NDVI00184,19.822004,74.394931,2024-02-26,-0.318,Bare/Water
NDVI00185,19.866553,74.572668,2024-08-27,0.5,Healthy
NDVI00186,19.929979,74.494485,2026-07-25,0.418,Moderate
NDVI00187,19.865438,74.351433,2026-05-01,0.194,Sparse
NDVI00188,19.939822,74.465166,2022-07-05,0.377,Moderate
NDVI00189,19.908854,74.433828,2016-10-17,0.365,Moderate
NDVI00190,19.822765,74.384076,2026-07-11,0.591,Healthy
NDVI00191,19.897079,74.57915,2018-06-30,0.284,Sparse
NDVI00192,19.882537,74.570927,2023-09-19,0.355,Moderate
NDVI00193,19.843837,74.463599,2023-03-18,0.174,Sparse
NDVI00194,19.92492,74.350634,2025-05-04,0.22,Sparse
NDVI00195,19.905356,74.471878,2019-06-09,0.26,Sparse
NDVI00196,19.948604,74.354454,2022-07-24,0.595,Healthy
NDVI00197,19.806081,74.530072,2024-05-30,0.215,Sparse
NDVI00198,19.899445,74.393566,2017-03-31,0.088,Bare/Water
NDVI00199,19.9223,74.498946,2026-04-30,-0.224,Bare/Water
NDVI00200,19.944659,74.440073,2024-01-22,0.0,Bare/Water
NDVI00201,19.880365,74.453976,2023-12-22,0.178,Sparse
NDVI00202,19.876408,74.536668,2022-02-19,0.238,Sparse
NDVI00203,19.877842,74.462286,2023-03-25,-0.302,Bare/Water
NDVI00204,19.903175,74.386078,2020-06-05,0.311,Moderate
NDVI00205,19.822078,74.47872,2024-12-24,-0.023,Bare/Water
NDVI00206,19.824629,74.42974,2017-02-17,-0.028,Bare/Water
NDVI00207,19.874768,74.464215,2023-06-30,0.291,Sparse
NDVI00208,19.940326,74.355355,2024-02-22,-0.105,Bare/Water
NDVI00209,19.837195,74.461817,2023-01-04,-0.028,Bare/Water
NDVI00210,19.880831,74.475888,2021-06-18,0.523,Healthy
NDVI00211,19.883266,74.432938,2020-05-09,0.14,Sparse
NDVI00212,19.84248,74.528858,2024-07-15,0.481,Moderate
NDVI00213,19.899033,74.38072,2019-12-07,0.216,Sparse
NDVI00214,19.847302,74.35851,2017-07-15,0.48,Moderate
NDVI00215,19.943037,74.554846,2023-03-10,-0.059,Bare/Water
NDVI00216,19.947137,74.549124,2022-05-19,0.203,Sparse
NDVI00217,19.836535,74.377327,2018-11-03,0.372,Moderate
NDVI00218,19.824634,74.437966,2017-03-26,-0.158,Bare/Water
NDVI00219,19.825872,74.387324,2023-09-07,0.592,Healthy
NDVI00220,19.827113,74.539218,2025-04-10,0.094,Bare/Water
NDVI00221,19.817799,74.576011,2023-05-04,0.117,Sparse
NDVI00222,19.949374,74.486018,2016-12-28,0.2,Sparse
NDVI00223,19.900198,74.575574,2025-07-22,0.659,Healthy
NDVI00224,19.821693,74.571799,2018-07-16,0.548,Healthy
NDVI00225,19.87052,74.404314,2018-06-15,0.157,Sparse
NDVI00226,19.869501,74.484583,2022-03-08,-0.041,Bare/Water
NDVI00227,19.82827,74.408533,2017-07-13,0.634,Healthy
NDVI00228,19.918049,74.547196,2025-05-08,0.344,Moderate
NDVI00229,19.861734,74.41643,2025-09-22,0.859,Very Healthy
NDVI00230,19.899524,74.439231,2026-06-26,0.503,Healthy
NDVI00231,19.871717,74.356112,2017-01-03,0.098,Bare/Water
NDVI00232,19.942151,74.549075,2023-08-08,0.679,Healthy
NDVI00233,19.910262,74.516692,2023-07-15,0.625,Healthy
NDVI00234,19.904919,74.426458,2017-04-10,-0.177,Bare/Water
NDVI00235,19.928951,74.443047,2017-11-24,0.146,Sparse
NDVI00236,19.870222,74.441899,2021-04-03,0.049,Bare/Water
NDVI00237,19.9438,74.583212,2024-11-27,0.292,Sparse
NDVI00238,19.824971,74.416133,2023-12-25,-0.041,Bare/Water
NDVI00239,19.914184,74.434228,2017-06-17,0.208,Sparse
NDVI00240,19.86343,74.416674,2018-06-03,0.346,Moderate
NDVI00241,19.854129,74.448672,2025-07-31,0.479,Moderate
NDVI00242,19.944109,74.387077,2023-08-03,0.438,Moderate
NDVI00243,19.818887,74.376842,2023-04-03,-0.083,Bare/Water
NDVI00244,19.900877,74.530345,2023-09-24,0.711,Very Healthy
NDVI00245,19.935626,74.579708,2025-11-07,0.51,Healthy
NDVI00246,19.820879,74.367014,2023-05-28,0.136,Sparse
NDVI00247,19.835027,74.370038,2024-02-22,-0.163,Bare/Water
NDVI00248,19.900935,74.482357,2024-09-02,0.421,Moderate
NDVI00249,19.88542,74.511522,2018-01-29,-0.226,Bare/Water
NDVI00250,19.851184,74.519568,2022-08-29,0.451,Moderate
NDVI00251,19.946181,74.477008,2020-03-07,-0.026,Bare/Water
NDVI00252,19.912618,74.566498,2025-05-04,0.147,Sparse
NDVI00253,19.840866,74.443268,2023-01-08,-0.014,Bare/Water
NDVI00254,19.822156,74.529186,2021-10-20,0.449,Moderate
NDVI00255,19.808064,74.5882,2018-10-28,0.404,Moderate
NDVI00256,19.900552,74.354985,2018-05-26,0.21,Sparse
NDVI00257,19.805057,74.544889,2021-05-22,0.25,Sparse
NDVI00258,19.938958,74.550949,2016-08-31,0.567,Healthy
NDVI00259,19.870904,74.529338,2017-08-26,0.722,Very Healthy
NDVI00260,19.937128,74.572506,2025-10-16,0.451,Moderate
NDVI00261,19.803828,74.49263,2025-11-28,0.368,Moderate
NDVI00262,19.871219,74.420376,2016-11-22,0.186,Sparse
NDVI00263,19.891842,74.390578,2025-08-23,0.63,Healthy
NDVI00264,19.806568,74.526298,2017-01-16,-0.027,Bare/Water
NDVI00265,19.841417,74.493381,2022-10-28,0.595,Healthy
NDVI00266,19.913358,74.517191,2026-01-20,-0.042,Bare/Water
NDVI00267,19.871107,74.373816,2018-12-26,0.305,Moderate
NDVI00268,19.803084,74.453614,2017-12-04,0.383,Moderate
NDVI00269,19.820007,74.370399,2017-04-15,-0.057,Bare/Water
NDVI00270,19.819471,74.467119,2017-05-15,0.11,Sparse
NDVI00271,19.80635,74.451413,2022-09-10,0.588,Healthy
NDVI00272,19.878137,74.510579,2019-07-15,0.483,Moderate
NDVI00273,19.868986,74.545981,2018-10-26,0.46,Moderate
NDVI00274,19.853698,74.482884,2020-10-24,0.395,Moderate
NDVI00275,19.821814,74.538138,2018-08-22,0.723,Very Healthy
NDVI00276,19.929624,74.449097,2023-12-26,0.097,Bare/Water
NDVI00277,19.931269,74.462935,2018-09-19,0.716,Very Healthy
NDVI00278,19.852926,74.546891,2023-12-25,0.117,Sparse
NDVI00279,19.883298,74.399324,2018-07-10,0.403,Moderate
NDVI00280,19.895213,74.352316,2020-03-29,-0.071,Bare/Water
NDVI00281,19.803762,74.503495,2019-02-13,0.146,Sparse
NDVI00282,19.919148,74.458157,2016-08-13,0.473,Moderate
NDVI00283,19.846713,74.462362,2020-08-20,0.338,Moderate
NDVI00284,19.913658,74.528285,2019-02-13,-0.005,Bare/Water
NDVI00285,19.933364,74.44044,2026-01-04,-0.039,Bare/Water
NDVI00286,19.926112,74.373359,2024-12-06,0.06,Bare/Water
NDVI00287,19.923266,74.573229,2024-06-25,0.521,Healthy
NDVI00288,19.822108,74.3712,2022-10-28,0.519,Healthy
NDVI00289,19.884198,74.369944,2019-05-13,0.13,Sparse
NDVI00290,19.897193,74.586602,2020-04-12,0.014,Bare/Water
NDVI00291,19.822893,74.558593,2022-08-03,0.597,Healthy
NDVI00292,19.847992,74.5108,2025-04-21,0.01,Bare/Water
NDVI00293,19.881838,74.586511,2023-09-18,0.607,Healthy
NDVI00294,19.91191,74.386904,2021-11-13,0.318,Moderate
NDVI00295,19.86894,74.440227,2023-08-02,0.493,Moderate
NDVI00296,19.896516,74.355765,2022-04-07,-0.136,Bare/Water
NDVI00297,19.852959,74.393135,2021-11-02,0.331,Moderate
NDVI00298,19.868655,74.589256,2017-08-01,0.555,Healthy
NDVI00299,19.839054,74.55477,2023-08-12,0.603,Healthy
NDVI00300,19.908886,74.404144,2024-01-12,-0.034,Bare/Water
NDVI00301,19.827348,74.361707,2021-05-09,0.435,Moderate
NDVI00302,19.8356,74.475185,2019-07-08,0.48,Moderate
NDVI00303,19.878307,74.514594,2019-07-22,0.715,Very Healthy
NDVI00304,19.812299,74.548671,2019-05-29,0.074,Bare/Water
NDVI00305,19.888297,74.474345,2022-07-25,0.559,Healthy
NDVI00306,19.875555,74.488225,2019-12-26,0.189,Sparse
NDVI00307,19.865546,74.372132,2026-03-22,-0.063,Bare/Water
NDVI00308,19.923246,74.563132,2018-11-21,0.33,Moderate
NDVI00309,19.83765,74.572402,2025-03-25,-0.064,Bare/Water
NDVI00310,19.941511,74.589626,2021-12-27,0.052,Bare/Water
NDVI00311,19.887454,74.587493,2022-10-03,0.595,Healthy
NDVI00312,19.920795,74.506446,2018-10-31,0.583,Healthy
NDVI00313,19.885369,74.554394,2024-11-23,0.177,Sparse
NDVI00314,19.879705,74.587406,2022-08-04,0.718,Very Healthy
NDVI00315,19.817972,74.382656,2019-06-14,0.152,Sparse
NDVI00316,19.82427,74.564964,2023-05-12,0.347,Moderate
NDVI00317,19.859065,74.524868,2022-08-01,0.518,Healthy
NDVI00318,19.916697,74.445166,2025-10-31,0.402,Moderate
NDVI00319,19.805099,74.446659,2022-08-20,0.52,Healthy
NDVI00320,19.926839,74.54826,2019-05-05,0.303,Moderate
NDVI00321,19.937284,74.510181,2026-05-13,0.319,Moderate
NDVI00322,19.845249,74.532324,2026-05-12,0.211,Sparse
NDVI00323,19.809474,74.50128,2021-01-13,0.0,Bare/Water
NDVI00324,19.871679,74.576973,2021-05-21,0.221,Sparse
NDVI00325,19.802183,74.433239,2024-11-05,0.518,Healthy
NDVI00326,19.936253,74.514668,2019-06-03,0.032,Bare/Water
NDVI00327,19.808765,74.475157,2021-01-31,0.052,Bare/Water
NDVI00328,19.916132,74.50262,2021-01-07,0.105,Sparse
NDVI00329,19.829897,74.434814,2022-06-30,0.477,Moderate
NDVI00330,19.816079,74.505275,2025-04-21,0.186,Sparse
NDVI00331,19.840127,74.592298,2021-04-28,0.029,Bare/Water
NDVI00332,19.807958,74.550402,2018-09-22,0.728,Very Healthy
NDVI00333,19.812031,74.463966,2022-01-11,-0.121,Bare/Water
NDVI00334,19.80834,74.567377,2024-04-01,-0.259,Bare/Water
NDVI00335,19.833949,74.564291,2017-04-06,-0.181,Bare/Water
NDVI00336,19.856852,74.47326,2021-12-27,-0.029,Bare/Water
NDVI00337,19.936077,74.495555,2019-05-19,0.571,Healthy
NDVI00338,19.801755,74.529664,2017-09-27,0.765,Very Healthy
NDVI00339,19.809442,74.527472,2017-06-19,0.319,Moderate
NDVI00340,19.926045,74.38513,2020-10-25,0.395,Moderate
NDVI00341,19.83777,74.567479,2021-04-19,0.003,Bare/Water
NDVI00342,19.887045,74.397421,2026-06-29,0.384,Moderate
NDVI00343,19.879941,74.513035,2019-10-03,0.38,Moderate
NDVI00344,19.862699,74.370687,2025-03-19,-0.199,Bare/Water
NDVI00345,19.892788,74.411632,2026-01-22,0.039,Bare/Water
NDVI00346,19.81449,74.438544,2016-11-20,0.394,Moderate
NDVI00347,19.900926,74.481391,2022-06-17,0.234,Sparse
NDVI00348,19.867815,74.483463,2018-06-24,0.534,Healthy
NDVI00349,19.836535,74.576487,2025-03-09,-0.142,Bare/Water
NDVI00350,19.803575,74.352978,2020-02-07,-0.017,Bare/Water
NDVI00351,19.852398,74.441321,2019-06-07,0.228,Sparse
NDVI00352,19.944754,74.435122,2019-04-15,-0.004,Bare/Water
NDVI00353,19.940461,74.545584,2024-09-04,0.743,Very Healthy
NDVI00354,19.938773,74.459241,2016-12-16,0.214,Sparse
NDVI00355,19.930143,74.411357,2026-07-22,0.388,Moderate
NDVI00356,19.839447,74.505054,2026-02-04,-0.21,Bare/Water
NDVI00357,19.94167,74.377867,2020-02-10,-0.207,Bare/Water
NDVI00358,19.824566,74.514733,2017-12-22,0.231,Sparse
NDVI00359,19.825922,74.400919,2020-03-01,-0.158,Bare/Water
NDVI00360,19.896355,74.436952,2018-09-19,0.46,Moderate
NDVI00361,19.917997,74.375977,2021-06-25,0.417,Moderate
NDVI00362,19.877455,74.369493,2023-07-01,0.287,Sparse
NDVI00363,19.828042,74.389266,2024-08-06,0.501,Healthy
NDVI00364,19.832415,74.57858,2025-12-23,0.051,Bare/Water
NDVI00365,19.876598,74.549309,2024-06-29,0.388,Moderate
NDVI00366,19.837133,74.484402,2018-06-10,0.216,Sparse
NDVI00367,19.825411,74.392818,2024-08-19,0.729,Very Healthy
NDVI00368,19.84304,74.510891,2018-08-15,0.62,Healthy
NDVI00369,19.872056,74.534569,2023-05-01,0.254,Sparse
NDVI00370,19.888447,74.521361,2022-12-21,0.004,Bare/Water
NDVI00371,19.842563,74.533596,2018-10-28,0.267,Sparse
NDVI00372,19.877402,74.385831,2022-08-04,0.628,Healthy
NDVI00373,19.84786,74.467305,2023-09-18,0.56,Healthy
NDVI00374,19.896835,74.547091,2019-09-10,0.714,Very Healthy
NDVI00375,19.803103,74.55103,2018-12-11,0.023,Bare/Water
NDVI00376,19.818473,74.354038,2022-04-11,0.23,Sparse
NDVI00377,19.833781,74.466735,2019-05-09,0.149,Sparse
NDVI00378,19.894746,74.554199,2024-04-27,-0.017,Bare/Water
NDVI00379,19.821631,74.389645,2025-08-17,0.683,Healthy
NDVI00380,19.948367,74.452849,2026-02-20,-0.109,Bare/Water
NDVI00381,19.949156,74.479265,2023-11-01,0.133,Sparse
NDVI00382,19.900004,74.516259,2025-09-13,0.628,Healthy
NDVI00383,19.860592,74.561817,2021-09-05,0.653,Healthy
NDVI00384,19.929643,74.513878,2021-05-07,0.096,Bare/Water
NDVI00385,19.870154,74.432619,2018-06-17,0.405,Moderate
NDVI00386,19.828178,74.424086,2021-09-18,0.776,Very Healthy
NDVI00387,19.86816,74.504595,2024-06-11,0.42,Moderate
NDVI00388,19.914746,74.578027,2022-11-30,0.164,Sparse
NDVI00389,19.914968,74.374647,2022-05-12,0.4,Moderate
NDVI00390,19.923266,74.57004,2016-08-06,0.527,Healthy
NDVI00391,19.944578,74.574337,2016-08-06,0.801,Very Healthy
NDVI00392,19.807781,74.51781,2018-06-28,0.239,Sparse
NDVI00393,19.894923,74.587708,2021-12-22,0.145,Sparse
NDVI00394,19.855313,74.393354,2026-04-22,0.181,Sparse
NDVI00395,19.866458,74.587388,2024-09-27,0.733,Very Healthy
NDVI00396,19.848919,74.566613,2025-06-06,0.15,Sparse
NDVI00397,19.862005,74.452545,2023-03-14,-0.024,Bare/Water
NDVI00398,19.894199,74.431699,2024-03-25,-0.109,Bare/Water
NDVI00399,19.840115,74.437934,2017-01-10,-0.105,Bare/Water
NDVI00400,19.829938,74.432859,2016-12-31,0.016,Bare/Water
NDVI00401,19.934167,74.399074,2020-06-10,0.244,Sparse
NDVI00402,19.882614,74.591733,2018-02-18,-0.225,Bare/Water
NDVI00403,19.895001,74.461056,2024-10-17,0.354,Moderate
NDVI00404,19.869209,74.360693,2019-01-24,-0.111,Bare/Water
NDVI00405,19.86073,74.467942,2019-08-29,0.633,Healthy
NDVI00406,19.905131,74.533621,2020-12-15,0.394,Moderate
NDVI00407,19.882701,74.479831,2022-01-12,-0.205,Bare/Water
NDVI00408,19.918396,74.455905,2021-04-12,0.024,Bare/Water
NDVI00409,19.929096,74.383496,2019-07-02,0.381,Moderate
NDVI00410,19.926434,74.551227,2021-03-07,-0.314,Bare/Water
