weather_id,date,temperature_c,rainfall_mm,humidity_pct,wind_speed_kmph,pressure_hpa,uv_index
WX00062,2016-10-01,24.8,0.0,44.1,11.2,1011.9,5.6
WX00063,2016-10-02,22.1,0.0,41.6,10.5,1016.5,5.1
WX00064,2016-10-03,24.2,0.0,26.1,9.9,1005.2,4.6
WX00065,2016-10-04,22.8,0.0,35.5,8.5,1013.1,4.7
WX00066,2016-10-05,23.6,0.0,38.9,14.4,1003.0,4.4
WX00067,2016-10-06,27.0,0.0,27.8,7.7,1007.4,5.8
WX00068,2016-10-07,26.6,0.0,31.9,10.0,1004.2,4.7
WX00069,2016-10-08,26.9,0.0,41.5,11.5,1004.4,5.4
WX00070,2016-10-09,21.8,0.0,44.0,12.3,1006.2,5.7
WX00071,2016-10-10,24.0,0.0,33.8,15.4,1007.4,3.9
WX00072,2016-10-11,22.2,0.0,40.6,9.7,1007.2,5.0
WX00073,2016-10-12,21.6,22.8,41.3,5.7,1010.9,5.4
WX00074,2016-10-13,22.3,0.0,34.6,5.4,1007.3,4.8
WX00075,2016-10-14,19.0,0.0,21.5,6.3,1015.2,4.2
WX00076,2016-10-15,25.4,0.0,29.3,1.0,1005.6,3.2
WX00077,2016-10-16,25.5,0.0,35.6,15.9,1004.4,4.7
WX00078,2016-10-17,27.7,40.6,33.1,5.4,1020.9,4.3
WX00079,2016-10-18,23.3,43.3,45.1,9.1,1003.3,2.9
WX00080,2016-10-19,21.3,41.6,34.2,1.0,1009.3,2.7
WX00081,2016-10-20,22.7,0.0,24.1,17.0,1002.1,3.0
WX00082,2016-10-21,21.6,40.1,54.2,7.5,1008.6,4.7
WX00083,2016-10-22,22.0,27.9,27.8,7.4,1012.4,3.4
WX00084,2016-10-23,21.3,0.0,29.5,10.8,1007.3,2.8
WX00085,2016-10-24,18.8,19.4,39.6,10.3,1012.8,3.4
WX00086,2016-10-25,20.6,0.0,28.2,9.8,995.3,5.1
WX00087,2016-10-26,20.1,0.0,56.5,7.0,1008.1,1.6
WX00088,2016-10-27,23.1,0.0,41.1,3.0,1010.2,3.6
WX00089,2016-10-28,19.6,0.0,37.0,5.5,1010.7,3.8
WX00090,2016-10-29,15.8,0.0,41.1,11.2,1010.3,3.8
WX00091,2016-10-30,22.0,0.0,35.9,7.9,1012.6,4.6
WX00092,2016-10-31,19.7,0.0,22.6,3.4,1003.4,3.6
WX00093,2016-11-01,17.8,0.0,38.3,11.2,1002.1,3.4
WX00094,2016-11-02,19.1,0.0,26.7,3.4,1010.3,3.9
WX00095,2016-11-03,23.4,0.0,25.3,11.3,1014.6,3.7
WX00096,2016-11-04,19.4,0.0,44.4,11.7,1004.9,1.5
WX00097,2016-11-05,19.1,0.0,40.3,7.0,1007.3,2.4
WX00098,2016-11-06,18.9,0.0,39.6,8.2,1007.1,4.4
WX00099,2016-11-07,19.9,0.0,39.4,5.1,1007.0,1.7
WX00100,2016-11-08,19.8,0.0,34.9,13.9,1004.6,4.2
WX00101,2016-11-09,19.0,0.0,26.8,13.0,1009.9,4.0
WX00102,2016-11-10,18.5,0.0,32.6,6.1,1000.5,3.7
WX00103,2016-11-11,17.9,0.0,46.5,10.9,1008.7,1.8
WX00104,2016-11-12,23.5,0.0,46.2,6.3,1014.8,3.2
WX00105,2016-11-13,24.9,0.0,26.8,8.5,1008.6,2.5
WX00106,2016-11-14,19.7,0.0,31.2,5.6,1004.7,3.1
WX00107,2016-11-15,14.6,0.0,40.5,8.5,1003.5,3.7
WX00108,2016-11-16,18.1,0.0,24.4,4.6,1007.3,2.8
WX00109,2016-11-17,18.7,0.0,22.8,10.6,1007.3,4.4
WX00110,2016-11-18,21.5,0.0,26.3,2.3,1004.1,1.0
WX00111,2016-11-19,13.9,0.0,30.7,13.9,1014.8,2.9
WX00112,2016-11-20,20.6,0.0,45.0,11.1,1005.1,3.9
WX00113,2016-11-21,19.5,0.0,33.2,1.5,1004.5,3.0
WX00114,2016-11-22,20.0,0.0,38.0,11.5,1012.7,1.8
WX00115,2016-11-23,18.4,0.0,24.9,10.4,1007.5,2.2
WX00116,2016-11-24,19.4,0.0,30.2,11.5,1012.9,3.1
WX00117,2016-11-25,16.7,0.0,32.4,13.1,1005.3,2.1
WX00118,2016-11-26,18.0,0.0,29.6,6.9,1002.3,3.3
WX00119,2016-11-27,15.8,0.0,44.4,13.8,1005.3,1.0
WX00120,2016-11-28,23.9,0.0,37.1,12.8,1001.6,3.2
WX00121,2016-11-29,15.3,0.0,41.0,8.4,1003.7,2.7
WX00122,2016-11-30,17.1,0.0,20.8,14.6,1005.6,4.0
WX00123,2016-12-01,21.1,0.0,41.0,9.1,1003.3,1.3
WX00124,2016-12-02,19.1,0.0,39.6,9.0,1006.9,2.7
WX00125,2016-12-03,23.6,0.0,16.6,15.7,1006.5,1.0
WX00126,2016-12-04,18.6,0.0,49.1,12.9,1010.9,1.8
WX00127,2016-12-05,21.9,0.0,37.5,7.0,1001.1,2.9
WX00128,2016-12-06,12.4,0.0,53.1,6.9,1009.3,2.2
WX00129,2016-12-07,15.5,0.0,40.1,8.3,1005.2,1.0
WX00130,2016-12-08,19.9,0.0,33.3,15.2,1008.1,2.8
WX00131,2016-12-09,18.3,0.0,26.9,9.2,1009.1,2.2
WX00132,2016-12-10,20.8,0.0,35.7,13.0,1013.7,3.3
WX00133,2016-12-11,19.4,0.0,44.5,13.6,1007.9,2.0
WX00134,2016-12-12,20.1,0.0,38.2,9.6,1002.8,2.4
WX00135,2016-12-13,17.7,0.0,33.2,10.3,1001.1,1.9
WX00136,2016-12-14,15.2,0.0,43.1,1.3,1007.1,1.0
WX00137,2016-12-15,19.6,0.0,38.3,11.0,1008.1,3.0
WX00138,2016-12-16,17.2,0.0,30.5,13.9,1003.5,1.9
WX00139,2016-12-17,18.6,0.0,34.3,16.3,1005.8,1.0
WX00140,2016-12-18,13.0,0.0,31.6,3.1,1005.1,1.9
WX00141,2016-12-19,21.9,0.0,28.3,10.7,1010.3,3.0
WX00142,2016-12-20,20.3,0.0,36.7,8.2,1013.1,2.0
WX00143,2016-12-21,17.6,0.0,38.5,5.8,1015.5,2.9
WX00144,2016-12-22,16.1,0.0,30.9,4.1,1006.6,4.2
WX00145,2016-12-23,19.6,0.0,40.5,14.1,1010.6,1.3
WX00146,2016-12-24,17.9,0.0,22.3,8.7,1003.8,2.4
WX00147,2016-12-25,16.3,0.0,23.6,5.0,1012.7,4.2
WX00148,2016-12-26,19.6,0.0,39.8,7.8,1009.4,1.0
WX00149,2016-12-27,19.4,0.0,30.7,10.7,1011.7,1.0
WX00150,2016-12-28,20.7,0.0,26.6,7.4,1011.0,2.6
WX00151,2016-12-29,21.3,0.0,39.6,7.4,1001.8,3.8
WX00152,2016-12-30,20.3,0.0,34.3,7.7,1009.6,1.9
WX00153,2016-12-31,15.3,0.0,32.5,12.2,1006.8,4.2
WX00154,2017-01-01,18.6,0.0,29.1,6.9,1013.5,1.5
WX00155,2017-01-02,18.0,0.0,21.4,7.6,1006.9,1.8
WX00156,2017-01-03,22.5,0.0,31.5,12.3,1008.5,3.1
WX00157,2017-01-04,16.6,0.0,24.6,5.7,1007.2,2.3
WX00158,2017-01-05,19.8,0.0,34.9,8.1,1013.8,2.0
WX00159,2017-01-06,15.7,0.0,43.4,11.8,1007.7,1.0
WX00160,2017-01-07,19.4,0.0,24.9,8.8,1003.7,2.6
WX00161,2017-01-08,14.8,0.0,38.0,5.1,1010.8,1.7
WX00162,2017-01-09,16.9,0.0,46.5,1.0,1011.4,1.4
WX00163,2017-01-10,20.2,0.0,31.2,13.7,1009.5,2.2
WX00164,2017-01-11,18.6,3.2,39.3,6.7,1001.9,1.9
WX00165,2017-01-12,18.8,0.0,36.8,5.0,999.1,2.5
WX00166,2017-01-13,15.5,0.0,55.1,12.6,1013.2,3.0
WX00167,2017-01-14,17.3,0.0,34.1,7.6,1008.4,2.5
WX00168,2017-01-15,18.2,0.0,29.8,11.8,1010.4,4.5
WX00169,2017-01-16,19.0,0.0,30.3,7.5,1002.1,3.1
WX00170,2017-01-17,20.6,0.0,40.1,8.0,1005.9,1.6
WX00171,2017-01-18,21.9,7.5,25.8,14.7,1009.1,4.2
WX00172,2017-01-19,21.5,0.0,54.2,18.5,1004.0,2.2
WX00173,2017-01-20,20.2,0.0,27.3,12.1,1016.4,1.7
WX00174,2017-01-21,20.7,0.0,52.3,11.9,1003.8,2.2
WX00175,2017-01-22,21.9,0.0,35.5,4.2,1005.2,3.2
WX00176,2017-01-23,14.2,0.0,28.1,8.5,1003.1,2.8
WX00177,2017-01-24,18.3,0.0,37.5,7.2,1010.0,4.4
WX00178,2017-01-25,19.1,9.3,41.3,5.3,1004.6,3.2
WX00179,2017-01-26,21.8,0.0,24.1,13.1,1004.8,3.2
WX00180,2017-01-27,18.0,0.0,41.1,8.3,1003.9,2.9
WX00181,2017-01-28,19.7,0.0,43.3,7.4,1009.9,2.1
WX00182,2017-01-29,20.7,0.0,51.1,1.0,1006.7,4.0
WX00183,2017-01-30,21.3,0.0,36.2,4.8,1006.0,2.6
WX00184,2017-01-31,17.7,0.0,43.2,12.8,1004.5,3.4
WX00185,2017-02-01,20.3,54.8,33.5,7.6,1011.4,3.6
WX00186,2017-02-02,19.6,0.0,63.2,4.1,1012.8,2.8
WX00187,2017-02-03,19.4,0.0,25.2,6.3,1010.3,1.4
WX00188,2017-02-04,20.7,0.0,34.1,15.3,1006.1,2.2
WX00189,2017-02-05,16.6,0.0,50.6,7.1,1006.4,4.3
WX00190,2017-02-06,21.7,0.0,34.7,12.9,1005.6,4.4
WX00191,2017-02-07,19.7,0.0,28.2,12.2,1010.4,2.1
WX00192,2017-02-08,20.4,0.0,20.7,11.5,1011.7,3.3
WX00193,2017-02-09,22.9,0.0,34.7,17.5,1011.2,2.5
WX00194,2017-02-10,21.4,0.0,29.4,5.7,1012.0,3.2
WX00195,2017-02-11,19.3,0.0,33.3,9.1,1009.6,4.9
WX00196,2017-02-12,22.3,0.0,39.7,15.8,1012.5,2.0
WX00197,2017-02-13,17.8,0.0,34.8,10.8,1020.4,3.4
WX00198,2017-02-14,24.0,0.0,28.4,2.2,1007.1,5.2
WX00199,2017-02-15,21.6,5.1,22.6,12.1,1009.0,2.8
WX00200,2017-02-16,22.9,0.0,30.0,6.4,1005.7,3.1
WX00201,2017-02-17,23.6,0.0,43.7,14.1,996.6,3.9
WX00202,2017-02-18,23.1,0.0,41.3,9.3,1010.9,5.0
WX00203,2017-02-19,20.8,0.0,34.3,8.1,1011.6,3.3
WX00204,2017-02-20,23.4,9.7,31.7,14.0,1002.8,4.9
WX00205,2017-02-21,19.5,0.0,35.2,9.2,1011.7,4.2
WX00206,2017-02-22,24.3,0.0,22.1,10.2,1010.6,3.9
WX00207,2017-02-23,22.6,0.0,37.2,13.3,1002.6,4.9
WX00208,2017-02-24,23.1,0.0,27.3,10.6,1006.5,5.2
WX00209,2017-02-25,22.8,0.0,45.1,17.4,1012.7,3.5
WX00210,2017-02-26,24.2,0.0,24.9,17.1,1008.2,5.7
WX00211,2017-02-27,21.2,0.0,42.6,14.8,1001.6,3.8
WX00212,2017-02-28,24.6,0.0,36.8,7.3,1009.0,3.9
WX00213,2017-03-01,21.5,0.0,42.9,5.7,997.1,4.1
WX00214,2017-03-02,25.5,0.0,34.2,15.0,1012.5,5.7
WX00215,2017-03-03,22.7,0.0,32.3,13.7,1008.3,3.3
WX00216,2017-03-04,20.9,0.0,28.0,7.4,1011.0,5.0
WX00217,2017-03-05,28.1,0.0,50.8,3.3,1010.3,6.8
WX00218,2017-03-06,21.6,0.0,30.2,9.8,1005.3,4.2
WX00219,2017-03-07,23.9,0.0,29.0,8.0,1008.0,5.1
WX00220,2017-03-08,26.1,0.0,37.3,6.3,1019.8,3.6
WX00221,2017-03-09,22.0,0.0,46.6,12.6,1006.3,5.1
WX00222,2017-03-10,24.8,0.0,36.3,14.1,1010.7,6.1
WX00223,2017-03-11,20.9,0.0,28.5,17.1,1000.0,6.2
WX00224,2017-03-12,24.9,0.0,39.9,11.5,1009.8,5.8
WX00225,2017-03-13,25.5,0.0,26.4,5.9,1008.0,5.2
WX00226,2017-03-14,24.8,0.0,41.7,11.8,1000.5,6.1
WX00227,2017-03-15,21.4,0.0,41.0,10.5,1013.7,6.9
WX00228,2017-03-16,25.5,0.0,22.2,10.4,1006.8,3.8
WX00229,2017-03-17,25.8,0.0,42.5,3.8,1010.9,4.6
WX00230,2017-03-18,30.0,0.0,30.4,11.9,1010.4,6.4
WX00231,2017-03-19,26.7,0.0,32.7,7.8,1004.6,4.3
WX00232,2017-03-20,23.0,0.0,24.1,7.9,1012.3,8.4
WX00233,2017-03-21,27.2,0.0,37.3,4.1,1010.0,6.6
WX00234,2017-03-22,23.8,0.0,38.2,14.9,1004.7,5.7
WX00235,2017-03-23,26.1,0.0,54.6,12.3,1007.8,6.4
WX00236,2017-03-24,26.3,0.0,32.5,12.7,1009.7,7.2
WX00237,2017-03-25,23.0,0.0,37.5,6.2,1004.9,7.1
WX00238,2017-03-26,28.6,0.0,34.5,10.5,1009.5,6.2
WX00239,2017-03-27,24.6,15.3,23.9,6.8,1013.8,7.0
WX00240,2017-03-28,25.3,0.0,22.3,6.3,1013.9,6.8
WX00241,2017-03-29,26.0,0.0,53.9,8.3,1013.2,6.1
WX00242,2017-03-30,25.1,0.0,38.7,6.6,1013.6,6.2
WX00243,2017-03-31,26.3,0.0,30.0,9.6,1014.2,6.7
WX00244,2017-04-01,26.8,0.0,28.7,15.9,1012.1,7.4
WX00245,2017-04-02,32.6,0.0,28.3,5.7,1003.1,5.3
WX00246,2017-04-03,24.8,0.0,16.1,8.3,1008.3,7.4
WX00247,2017-04-04,31.2,0.0,41.2,8.0,1002.0,6.8
WX00248,2017-04-05,28.0,0.0,45.1,10.2,1009.8,5.2
WX00249,2017-04-06,29.8,0.0,37.6,13.2,1014.3,6.4
WX00250,2017-04-07,26.7,0.0,33.3,10.4,1011.7,6.6
WX00251,2017-04-08,28.4,0.0,50.0,10.6,1011.1,9.2
WX00252,2017-04-09,28.3,0.0,42.1,11.3,1008.2,9.8
WX00253,2017-04-10,30.0,0.0,48.3,8.4,1009.9,7.4
WX00254,2017-04-11,28.8,0.0,25.3,10.4,1004.9,6.4
WX00255,2017-04-12,33.6,0.0,26.5,11.1,1006.6,6.4
WX00256,2017-04-13,28.5,0.0,38.5,12.3,1007.6,8.2
WX00257,2017-04-14,31.1,0.0,35.9,4.0,1003.7,6.4
WX00258,2017-04-15,31.5,0.0,28.1,10.8,1007.0,7.5
WX00259,2017-04-16,28.7,0.0,37.6,11.9,1005.0,8.7
WX00260,2017-04-17,31.7,1.7,30.6,8.8,1001.5,7.9
WX00261,2017-04-18,33.3,0.0,21.6,9.2,1013.0,9.5
WX00262,2017-04-19,30.8,0.0,25.6,10.4,1009.5,6.8
WX00263,2017-04-20,32.6,10.6,33.4,15.1,1006.4,7.9
WX00264,2017-04-21,34.0,0.0,29.3,7.9,1011.5,8.4
WX00265,2017-04-22,28.4,0.0,43.1,7.5,1009.3,8.6
WX00266,2017-04-23,30.6,0.0,41.8,11.3,1009.3,9.8
WX00267,2017-04-24,27.6,0.0,35.9,2.0,1007.5,7.7
WX00268,2017-04-25,29.8,0.0,32.2,16.7,1007.7,9.4
WX00269,2017-04-26,32.2,0.0,36.2,1.0,1011.9,7.7
WX00270,2017-04-27,32.0,0.0,23.1,11.1,1003.8,8.2
WX00271,2017-04-28,33.0,0.0,33.0,12.4,1002.3,8.2
WX00272,2017-04-29,32.1,0.0,32.6,5.0,1015.4,9.7
WX00273,2017-04-30,29.4,0.0,25.6,14.6,1010.3,9.3
WX00274,2017-05-01,33.1,0.0,43.2,3.0,997.6,8.8
WX00275,2017-05-02,27.3,0.0,22.0,9.1,1010.6,10.2
WX00276,2017-05-03,27.6,26.7,37.7,7.9,1000.5,10.8
WX00277,2017-05-04,32.0,0.0,42.6,15.9,996.9,8.9
WX00278,2017-05-05,31.7,0.0,52.4,10.4,1005.3,7.9
WX00279,2017-05-06,25.4,32.0,37.9,8.2,1010.5,9.7
WX00280,2017-05-07,32.9,0.0,29.5,8.3,1004.2,9.0
WX00281,2017-05-08,31.1,0.0,37.9,5.7,1007.5,8.8
WX00282,2017-05-09,34.9,25.3,46.4,8.5,1002.9,10.4
WX00283,2017-05-10,32.1,59.0,36.4,3.8,1008.0,8.6
WX00284,2017-05-11,29.4,0.0,30.4,5.1,1011.9,8.5
WX00285,2017-05-12,30.9,0.0,37.9,1.9,1008.2,10.3
WX00286,2017-05-13,29.7,0.0,38.5,5.0,1005.3,8.3
WX00287,2017-05-14,29.8,11.5,27.2,15.3,1009.9,10.5
WX00288,2017-05-15,29.3,0.0,43.7,14.6,999.3,9.3
WX00289,2017-05-16,34.1,0.0,39.4,13.8,1008.0,9.4
WX00290,2017-05-17,35.4,0.0,25.3,6.4,1007.5,9.3
WX00291,2017-05-18,36.6,0.0,22.3,14.1,1012.8,10.3
WX00292,2017-05-19,30.1,15.9,50.3,9.0,1008.2,8.7
WX00293,2017-05-20,32.3,0.0,53.3,11.4,1007.8,9.6
WX00294,2017-05-21,28.9,0.0,33.8,18.4,1005.5,8.5
WX00295,2017-05-22,36.8,0.0,39.9,5.9,1008.7,9.8
WX00296,2017-05-23,34.5,18.9,49.1,6.8,1010.2,9.8
WX00297,2017-05-24,31.3,0.0,37.8,7.9,1013.6,8.7
WX00298,2017-05-25,34.1,0.0,37.5,15.1,1009.1,10.9
WX00299,2017-05-26,31.6,0.0,42.8,7.6,1009.4,10.2
WX00300,2017-05-27,32.7,0.0,29.4,6.8,1005.6,11.1
WX00301,2017-05-28,32.9,0.0,35.1,14.1,1011.4,9.6
WX00302,2017-05-29,34.0,0.0,18.8,9.2,1014.5,10.5
WX00303,2017-05-30,32.5,11.7,47.9,14.7,1005.1,8.5
WX00304,2017-05-31,35.6,0.0,27.3,9.4,1016.2,10.6
WX00305,2017-06-01,31.4,0.0,61.7,9.7,1010.5,11.6
WX00306,2017-06-02,34.4,0.0,68.9,1.0,1002.3,11.0
WX00307,2017-06-03,37.6,28.2,82.1,8.6,1007.4,10.2
WX00308,2017-06-04,37.2,0.0,70.3,4.9,1011.2,8.0
WX00309,2017-06-05,32.1,23.9,74.3,10.4,1010.3,8.9
WX00310,2017-06-06,33.4,0.0,78.2,6.4,1006.4,9.6
WX00311,2017-06-07,31.6,15.9,71.7,2.7,1011.3,8.8
WX00312,2017-06-08,35.6,19.5,71.8,5.9,1003.2,10.2
WX00313,2017-06-09,33.5,8.6,73.1,5.7,1006.9,10.6
WX00314,2017-06-10,33.1,0.0,59.9,10.7,1013.6,10.2
WX00315,2017-06-11,33.6,0.0,71.7,6.4,1012.0,10.4
WX00316,2017-06-12,33.7,0.0,63.7,9.2,1003.8,8.8
WX00317,2017-06-13,36.5,0.0,71.6,12.1,1004.2,10.9
WX00318,2017-06-14,36.3,25.7,79.6,6.7,1007.3,9.0
WX00319,2017-06-15,35.3,0.0,64.2,13.1,1007.2,9.7
WX00320,2017-06-16,34.2,41.4,62.4,12.0,1007.9,9.2
WX00321,2017-06-17,31.8,0.0,58.5,12.3,1005.3,8.3
WX00322,2017-06-18,36.3,0.0,69.6,5.9,1012.5,11.2
WX00323,2017-06-19,37.4,0.0,84.8,14.9,1009.1,10.4
WX00324,2017-06-20,31.8,0.0,80.2,7.3,1012.6,10.0
WX00325,2017-06-21,32.0,63.7,73.4,7.5,1007.5,9.7
WX00326,2017-06-22,34.8,0.0,80.1,7.5,1014.4,10.5
WX00327,2017-06-23,32.9,0.0,80.3,9.9,1007.1,8.8
WX00328,2017-06-24,31.1,15.0,70.5,12.3,1009.0,10.0
WX00329,2017-06-25,32.1,22.8,81.0,5.2,1010.4,10.0
WX00330,2017-06-26,31.4,0.0,95.4,9.5,1010.0,10.3
WX00331,2017-06-27,31.2,37.2,67.8,8.9,1004.2,10.2
WX00332,2017-06-28,32.0,0.0,63.6,15.6,1005.4,9.3
WX00333,2017-06-29,31.2,36.9,70.5,2.9,1006.5,9.9
WX00334,2017-06-30,36.6,0.0,70.3,4.6,1008.7,10.3
WX00335,2017-07-01,36.8,27.0,70.6,2.7,1002.8,10.0
WX00336,2017-07-02,33.8,56.6,87.7,1.9,1004.3,7.5
WX00337,2017-07-03,33.7,0.0,67.3,3.6,1006.0,11.0
WX00338,2017-07-04,33.0,0.0,88.2,10.5,1015.7,10.7
WX00339,2017-07-05,34.1,0.0,72.5,9.1,1010.6,9.2
WX00340,2017-07-06,37.7,0.0,72.4,12.3,1013.4,9.0
WX00341,2017-07-07,31.4,0.0,74.0,10.2,1014.5,9.5
WX00342,2017-07-08,34.6,10.6,64.9,9.5,1010.4,9.9
WX00343,2017-07-09,36.8,0.0,75.0,5.6,1011.6,9.7
WX00344,2017-07-10,37.8,37.9,60.1,6.4,1008.9,10.9
WX00345,2017-07-11,32.2,13.5,77.6,6.8,1005.6,11.5
WX00346,2017-07-12,30.7,0.0,69.1,7.2,1011.8,9.5
WX00347,2017-07-13,32.5,26.9,80.9,9.1,1009.2,7.9
WX00348,2017-07-14,33.8,0.0,70.9,18.6,1005.3,7.6
WX00349,2017-07-15,32.1,0.0,74.3,13.8,1008.5,10.9
WX00350,2017-07-16,30.7,0.0,72.1,12.3,1008.5,9.7
WX00351,2017-07-17,31.6,7.6,67.5,11.5,1010.3,12.0
WX00352,2017-07-18,36.2,0.0,72.4,11.7,1008.3,10.7
WX00353,2017-07-19,35.6,11.0,78.0,14.1,1002.0,9.9
WX00354,2017-07-20,28.0,7.7,81.5,11.4,1007.2,10.7
WX00355,2017-07-21,33.1,0.0,72.7,11.3,1005.9,10.1
WX00356,2017-07-22,33.9,0.0,89.3,10.5,1014.0,10.1
WX00357,2017-07-23,32.5,0.0,82.6,10.6,1011.6,9.6
WX00358,2017-07-24,30.7,0.0,72.8,4.9,1009.5,8.6
WX00359,2017-07-25,30.5,32.9,71.8,9.7,1000.4,8.0
WX00360,2017-07-26,30.6,0.0,67.9,11.9,1005.6,8.7
WX00361,2017-07-27,34.7,0.0,70.9,9.5,1005.2,11.3
WX00362,2017-07-28,32.9,14.3,62.5,7.2,1007.8,9.9
WX00363,2017-07-29,27.3,23.1,71.9,12.3,1007.9,9.3
WX00364,2017-07-30,30.3,0.0,79.3,13.0,1002.2,10.7
WX00365,2017-07-31,36.9,0.0,77.8,5.3,1009.4,9.8
WX00366,2017-08-01,30.8,0.0,75.0,18.3,1007.8,9.2
WX00367,2017-08-02,33.6,23.7,63.2,12.3,1008.7,8.7
WX00368,2017-08-03,32.1,0.0,66.8,3.6,1012.6,8.8
WX00369,2017-08-04,32.5,0.0,80.4,6.8,1011.0,7.9
WX00370,2017-08-05,33.5,14.7,65.1,6.9,1001.9,8.1
WX00371,2017-08-06,25.3,2.6,71.5,15.1,1020.7,7.9
WX00372,2017-08-07,30.9,0.0,75.7,11.9,1017.3,8.3
WX00373,2017-08-08,31.8,0.0,77.0,16.8,1010.8,8.5
WX00374,2017-08-09,30.6,16.0,77.1,15.1,1005.1,9.9
WX00375,2017-08-10,34.2,84.4,69.9,13.3,1005.9,6.7
