project_id,project_name,location,start_date,status,budget_inr,organization
PRJ032,Bird Census - Sonai Wadi,Sonai Wadi,2021-10-30,Planned,1024514,District Environment Cell
PRJ033,Wetland Restoration - Ozar,Ozar,2024-12-15,Planned,821279,Godavari Conservation Trust
PRJ034,Community Awareness Drive - Aloli Wadi,Aloli Wadi,2025-09-30,Ongoing,1218959,Godavari Conservation Trust
PRJ035,Native Species Nursery - Kasabe,Kasabe,2023-03-28,Completed,902667,District Environment Cell
PRJ036,River Cleanup - Kasabe,Kasabe,2017-03-31,Planned,2264805,WWF-India Local Chapter
PRJ037,Anti-Poaching Patrol - Sangamner,Sangamner,2023-10-30,Planned,1889506,Godavari Conservation Trust
PRJ038,Native Species Nursery - Aloli,Aloli,2017-04-17,On Hold,2397763,BNHS Regional Unit
PRJ039,River Cleanup - Deolali Peth,Deolali Peth,2025-09-18,Planned,674811,WWF-India Local Chapter
PRJ040,Native Species Nursery - Pipalgaon,Pipalgaon,2016-09-28,On Hold,514304,Maharashtra Forest Department
PRJ041,Anti-Poaching Patrol - Ranjankhol,Ranjankhol,2016-09-01,Planned,443732,Godavari Conservation Trust
PRJ042,School Biodiversity Program - Chas,Chas,2020-02-06,On Hold,1941609,District Environment Cell
PRJ043,Wetland Restoration - Nandur Peth,Nandur Peth,2023-04-28,On Hold,1591881,Kopargaon Nagar Parishad
PRJ044,Community Awareness Drive - Chandanapuri,Chandanapuri,2025-06-16,Completed,2322328,Local Self-Help Group
PRJ045,Bird Census - Bramhangaon Wadi,Bramhangaon Wadi,2016-08-01,On Hold,2454194,Rotary Club Kopargaon
PRJ046,Bird Census - Musalwadi,Musalwadi,2025-03-19,Planned,1612565,Maharashtra Forest Department
PRJ047,Lake Rejuvenation - Vari,Vari,2024-10-01,Completed,1793304,Maharashtra Forest Department
PRJ048,Wetland Restoration - Songaon,Songaon,2025-06-23,Completed,2116141,Maharashtra Forest Department
PRJ049,School Biodiversity Program - Pipalgaon Budruk,Pipalgaon Budruk,2023-03-01,On Hold,1109954,BNHS Regional Unit
PRJ050,Anti-Poaching Patrol - Karjule,Karjule,2019-02-24,Planned,1728290,Kopargaon Nagar Parishad
