threat_id,latitude,longitude,village_id,threat_type,severity,date,description,image_filename,resolved
ENV0052,19.82759,74.584535,VLG013,Illegal Tree Cutting,High,2016-10-05,Identified during river patrol,ENV0052.jpg,False
ENV0053,19.921175,74.44409,VLG052,Water Pollution,Low,2017-08-27,Reported by local resident,ENV0053.jpg,True
ENV0054,19.934271,74.573075,VLG051,Invasive Species,Critical,2023-06-30,Identified during river patrol,ENV0054.jpg,False
ENV0055,19.892928,74.469463,VLG073,Pesticide Runoff,High,2025-10-23,Noted by forest officer,ENV0055.jpg,False
ENV0056,19.887792,74.357895,VLG073,Water Pollution,Critical,2018-12-13,Reported by local resident,ENV0056.jpg,False
ENV0057,19.836276,74.556115,VLG085,Pesticide Runoff,Moderate,2023-12-05,Identified during river patrol,ENV0057.jpg,True
ENV0058,19.805464,74.49749,VLG024,Sewage Discharge,High,2024-06-07,Identified during river patrol,ENV0058.jpg,True
ENV0059,19.826752,74.589697,VLG012,Illegal Tree Cutting,Moderate,2024-08-02,Noted by forest officer,ENV0059.jpg,True
ENV0060,19.857747,74.583551,VLG082,Encroachment,Moderate,2020-11-24,Observed during field survey,ENV0060.jpg,False
ENV0061,19.863354,74.500538,VLG076,Fire,Critical,2018-06-16,Flagged via citizen report app,ENV0061.jpg,False
ENV0062,19.945936,74.420842,VLG031,Sand Mining,Critical,2022-10-11,Observed during field survey,ENV0062.jpg,True
ENV0063,19.834309,74.426242,VLG067,Invasive Species,Moderate,2021-01-24,Noted by forest officer,ENV0063.jpg,False
ENV0064,19.851003,74.432698,VLG045,Invasive Species,Low,2021-12-30,Noted by forest officer,ENV0064.jpg,True
ENV0065,19.841701,74.542888,VLG060,Illegal Tree Cutting,Moderate,2021-01-21,Identified during river patrol,ENV0065.jpg,False
ENV0066,19.867085,74.478486,VLG014,Soil Erosion,High,2020-06-02,Noted by forest officer,ENV0066.jpg,False
ENV0067,19.909325,74.579157,VLG055,Water Pollution,High,2023-10-10,Observed during field survey,ENV0067.jpg,True
ENV0068,19.912286,74.488772,VLG080,Invasive Species,Critical,2021-05-04,Observed during field survey,ENV0068.jpg,False
ENV0069,19.930447,74.412049,VLG009,Sewage Discharge,Critical,2017-09-18,Flagged via citizen report app,ENV0069.jpg,True
ENV0070,19.812754,74.457882,VLG014,Encroachment,Moderate,2020-03-06,Noted by forest officer,ENV0070.jpg,False
ENV0071,19.864774,74.573471,VLG007,Plastic Waste,Moderate,2019-12-16,Identified during river patrol,ENV0071.jpg,False
ENV0072,19.941395,74.383407,VLG037,Sewage Discharge,High,2022-05-03,Noted by forest officer,ENV0072.jpg,False
ENV0073,19.889304,74.461282,VLG009,Fire,Low,2018-04-08,Flagged via citizen report app,ENV0073.jpg,True
ENV0074,19.830862,74.479507,VLG087,Invasive Species,Critical,2020-05-28,Reported by local resident,ENV0074.jpg,False
ENV0075,19.813393,74.37775,VLG018,Invasive Species,High,2024-02-23,Observed during field survey,ENV0075.jpg,False
ENV0076,19.91539,74.520644,VLG002,Invasive Species,High,2017-01-02,Identified during river patrol,ENV0076.jpg,True
ENV0077,19.874809,74.571501,VLG068,Sand Mining,Moderate,2024-08-20,Noted by forest officer,ENV0077.jpg,True
ENV0078,19.903629,74.528265,VLG091,Water Pollution,Low,2019-02-27,Reported by local resident,ENV0078.jpg,True
ENV0079,19.91604,74.424892,VLG076,Invasive Species,Critical,2020-10-07,Observed during field survey,ENV0079.jpg,True
ENV0080,19.924583,74.43545,VLG086,Illegal Tree Cutting,Critical,2020-10-18,Reported by local resident,ENV0080.jpg,True
ENV0081,19.93539,74.557183,VLG081,Fire,Moderate,2019-09-03,Reported by local resident,ENV0081.jpg,False
ENV0082,19.84664,74.430446,VLG022,Pesticide Runoff,High,2018-05-09,Reported by local resident,ENV0082.jpg,False
ENV0083,19.816196,74.436039,VLG045,Pesticide Runoff,Critical,2025-09-26,Flagged via citizen report app,ENV0083.jpg,False
ENV0084,19.861202,74.371435,VLG034,Pesticide Runoff,Moderate,2025-11-26,Observed during field survey,ENV0084.jpg,False
ENV0085,19.860784,74.424241,VLG061,Sewage Discharge,Moderate,2022-03-03,Noted by forest officer,ENV0085.jpg,False
ENV0086,19.871868,74.433884,VLG088,Encroachment,Critical,2019-06-15,Identified during river patrol,ENV0086.jpg,True
ENV0087,19.803377,74.503954,VLG029,Fire,Low,2019-04-02,Noted by forest officer,ENV0087.jpg,True
ENV0088,19.884962,74.495571,VLG100,Pesticide Runoff,Low,2018-05-26,Flagged via citizen report app,ENV0088.jpg,True
ENV0089,19.890952,74.455361,VLG100,Sand Mining,Moderate,2020-04-03,Reported by local resident,ENV0089.jpg,False
ENV0090,19.869051,74.41165,VLG065,Plastic Waste,Moderate,2016-10-02,Observed during field survey,ENV0090.jpg,True
ENV0091,19.808505,74.49761,VLG038,Pesticide Runoff,Critical,2025-03-02,Noted by forest officer,ENV0091.jpg,False
ENV0092,19.946705,74.447858,VLG030,Fire,High,2023-07-09,Reported by local resident,ENV0092.jpg,True
ENV0093,19.831883,74.540866,VLG024,Encroachment,Low,2017-11-06,Reported by local resident,ENV0093.jpg,False
ENV0094,19.914783,74.501423,VLG030,Illegal Tree Cutting,Moderate,2024-02-25,Noted by forest officer,ENV0094.jpg,False
ENV0095,19.86408,74.51391,VLG057,Illegal Tree Cutting,Moderate,2020-05-02,Flagged via citizen report app,ENV0095.jpg,True
ENV0096,19.839832,74.451115,VLG068,Plastic Waste,Low,2024-01-11,Identified during river patrol,ENV0096.jpg,True
ENV0097,19.844029,74.439482,VLG013,Encroachment,Critical,2024-07-15,Noted by forest officer,ENV0097.jpg,True
ENV0098,19.800473,74.499326,VLG083,Soil Erosion,Low,2020-04-14,Observed during field survey,ENV0098.jpg,False
ENV0099,19.947874,74.460971,VLG088,Water Pollution,Low,2021-04-22,Observed during field survey,ENV0099.jpg,False
ENV0100,19.83826,74.356541,VLG067,Pesticide Runoff,Low,2018-11-17,Identified during river patrol,ENV0100.jpg,True
ENV0101,19.852843,74.457387,VLG015,Fire,High,2025-04-25,Noted by forest officer,ENV0101.jpg,True
ENV0102,19.885027,74.527216,VLG033,Invasive Species,Critical,2019-08-08,Identified during river patrol,ENV0102.jpg,False
ENV0103,19.935275,74.540086,VLG059,Fire,High,2025-04-13,Identified during river patrol,ENV0103.jpg,True
ENV0104,19.820476,74.40128,VLG043,Illegal Tree Cutting,Critical,2025-06-23,Noted by forest officer,ENV0104.jpg,True
ENV0105,19.912645,74.36927,VLG061,Illegal Tree Cutting,Low,2017-08-08,Observed during field survey,ENV0105.jpg,True
ENV0106,19.894535,74.371433,VLG076,Illegal Tree Cutting,Moderate,2025-06-25,Identified during river patrol,ENV0106.jpg,True
ENV0107,19.879007,74.364738,VLG091,Plastic Waste,Critical,2025-08-10,Noted by forest officer,ENV0107.jpg,False
ENV0108,19.941776,74.38697,VLG076,Plastic Waste,Low,2024-10-28,Observed during field survey,ENV0108.jpg,True
ENV0109,19.882784,74.510975,VLG034,Fire,High,2023-07-05,Observed during field survey,ENV0109.jpg,False
ENV0110,19.922112,74.432901,VLG060,Sewage Discharge,Moderate,2026-02-08,Observed during field survey,ENV0110.jpg,False
ENV0111,19.885911,74.516199,VLG053,Pesticide Runoff,Moderate,2017-02-27,Flagged via citizen report app,ENV0111.jpg,True
ENV0112,19.948784,74.380125,VLG083,Sand Mining,Critical,2019-11-27,Flagged via citizen report app,ENV0112.jpg,False
ENV0113,19.86066,74.416897,VLG033,Encroachment,High,2018-01-27,Identified during river patrol,ENV0113.jpg,False
ENV0114,19.874275,74.534491,VLG080,Fire,Moderate,2017-08-03,Noted by forest officer,ENV0114.jpg,False
ENV0115,19.80693,74.493325,VLG022,Sewage Discharge,Moderate,2025-05-01,Flagged via citizen report app,ENV0115.jpg,True
ENV0116,19.82125,74.44182,VLG031,Sewage Discharge,Critical,2025-06-08,Flagged via citizen report app,ENV0116.jpg,False
ENV0117,19.895344,74.572062,VLG006,Encroachment,High,2017-09-22,Identified during river patrol,ENV0117.jpg,True
ENV0118,19.803214,74.586605,VLG057,Plastic Waste,High,2020-01-30,Reported by local resident,ENV0118.jpg,False
ENV0119,19.822556,74.420549,VLG032,Sewage Discharge,High,2020-07-28,Reported by local resident,ENV0119.jpg,False
ENV0120,19.871277,74.438582,VLG018,Fire,High,2020-08-14,Reported by local resident,ENV0120.jpg,False
ENV0121,19.832721,74.522399,VLG037,Pesticide Runoff,High,2019-06-03,Observed during field survey,ENV0121.jpg,False
ENV0122,19.949109,74.499664,VLG083,Fire,Low,2023-02-12,Observed during field survey,ENV0122.jpg,False
ENV0123,19.932036,74.473369,VLG080,Pesticide Runoff,Critical,2021-06-05,Noted by forest officer,ENV0123.jpg,True
ENV0124,19.947777,74.360505,VLG079,Encroachment,Moderate,2024-10-25,Observed during field survey,ENV0124.jpg,True
ENV0125,19.929894,74.484603,VLG068,Sewage Discharge,Moderate,2021-04-11,Observed during field survey,ENV0125.jpg,True
ENV0126,19.801313,74.386269,VLG058,Soil Erosion,Critical,2020-11-24,Flagged via citizen report app,ENV0126.jpg,False
ENV0127,19.811842,74.534226,VLG079,Pesticide Runoff,Moderate,2023-01-13,Identified during river patrol,ENV0127.jpg,False
ENV0128,19.907985,74.356024,VLG027,Illegal Tree Cutting,High,2023-01-12,Observed during field survey,ENV0128.jpg,False
ENV0129,19.824671,74.494993,VLG085,Plastic Waste,Low,2022-12-23,Noted by forest officer,ENV0129.jpg,False
ENV0130,19.837353,74.534655,VLG076,Fire,Low,2026-07-07,Identified during river patrol,ENV0130.jpg,False
ENV0131,19.92271,74.565589,VLG009,Plastic Waste,Moderate,2023-10-14,Observed during field survey,ENV0131.jpg,False
ENV0132,19.854174,74.560673,VLG020,Illegal Tree Cutting,Critical,2018-04-22,Reported by local resident,ENV0132.jpg,False
ENV0133,19.937765,74.543571,VLG086,Plastic Waste,High,2026-06-30,Observed during field survey,ENV0133.jpg,False
ENV0134,19.83853,74.360727,VLG062,Sand Mining,Moderate,2020-09-12,Identified during river patrol,ENV0134.jpg,True
ENV0135,19.874326,74.387887,VLG036,Fire,High,2017-11-03,Observed during field survey,ENV0135.jpg,True
ENV0136,19.882436,74.599279,VLG063,Soil Erosion,Low,2021-01-01,Observed during field survey,ENV0136.jpg,False
ENV0137,19.833962,74.481974,VLG025,Water Pollution,Moderate,2024-06-27,Identified during river patrol,ENV0137.jpg,False
ENV0138,19.823627,74.554395,VLG083,Invasive Species,Low,2025-05-17,Reported by local resident,ENV0138.jpg,True
ENV0139,19.904876,74.594427,VLG044,Soil Erosion,Low,2026-04-20,Observed during field survey,ENV0139.jpg,True
ENV0140,19.815189,74.455976,VLG089,Water Pollution,Critical,2025-10-14,Observed during field survey,ENV0140.jpg,True
ENV0141,19.924094,74.570637,VLG058,Illegal Tree Cutting,Moderate,2024-03-22,Noted by forest officer,ENV0141.jpg,False
ENV0142,19.865446,74.563571,VLG019,Water Pollution,High,2019-08-20,Identified during river patrol,ENV0142.jpg,True
ENV0143,19.949341,74.521606,VLG036,Pesticide Runoff,Critical,2019-11-16,Reported by local resident,ENV0143.jpg,False
ENV0144,19.935707,74.541863,VLG005,Sewage Discharge,Low,2021-06-19,Observed during field survey,ENV0144.jpg,True
ENV0145,19.881378,74.59503,VLG096,Sewage Discharge,Moderate,2019-05-29,Observed during field survey,ENV0145.jpg,False
ENV0146,19.827585,74.449722,VLG047,Illegal Tree Cutting,High,2019-12-14,Reported by local resident,ENV0146.jpg,False
ENV0147,19.936167,74.51828,VLG087,Soil Erosion,Critical,2025-01-18,Reported by local resident,ENV0147.jpg,True
ENV0148,19.807528,74.476372,VLG034,Invasive Species,Low,2018-06-14,Identified during river patrol,ENV0148.jpg,False
ENV0149,19.84293,74.361229,VLG022,Pesticide Runoff,High,2019-09-20,Identified during river patrol,ENV0149.jpg,False
ENV0150,19.87498,74.539555,VLG082,Invasive Species,High,2018-11-18,Identified during river patrol,ENV0150.jpg,False
ENV0151,19.869251,74.375058,VLG070,Pesticide Runoff,Moderate,2016-10-23,Observed during field survey,ENV0151.jpg,False
ENV0152,19.89537,74.585864,VLG072,Encroachment,High,2018-02-07,Reported by local resident,ENV0152.jpg,True
ENV0153,19.891119,74.587252,VLG041,Pesticide Runoff,High,2020-08-14,Identified during river patrol,ENV0153.jpg,False
ENV0154,19.905446,74.411217,VLG025,Illegal Tree Cutting,Moderate,2018-06-24,Identified during river patrol,ENV0154.jpg,True
ENV0155,19.815047,74.488072,VLG031,Plastic Waste,High,2024-04-12,Noted by forest officer,ENV0155.jpg,True
ENV0156,19.910003,74.441398,VLG019,Encroachment,Low,2024-03-28,Observed during field survey,ENV0156.jpg,True
ENV0157,19.94133,74.421696,VLG031,Invasive Species,High,2019-07-02,Observed during field survey,ENV0157.jpg,False
ENV0158,19.842681,74.555638,VLG037,Pesticide Runoff,Moderate,2020-06-19,Noted by forest officer,ENV0158.jpg,False
ENV0159,19.806111,74.360561,VLG035,Water Pollution,Critical,2023-02-15,Observed during field survey,ENV0159.jpg,True
ENV0160,19.814501,74.355509,VLG014,Pesticide Runoff,Moderate,2017-09-18,Identified during river patrol,ENV0160.jpg,False
ENV0161,19.932288,74.40421,VLG094,Invasive Species,Moderate,2025-09-18,Identified during river patrol,ENV0161.jpg,True
ENV0162,19.835227,74.492771,VLG095,Sand Mining,Critical,2022-10-18,Reported by local resident,ENV0162.jpg,True
ENV0163,19.80552,74.490962,VLG031,Plastic Waste,Low,2025-06-07,Reported by local resident,ENV0163.jpg,False
ENV0164,19.800803,74.355374,VLG088,Water Pollution,Moderate,2024-11-09,Flagged via citizen report app,ENV0164.jpg,False
ENV0165,19.911196,74.463584,VLG046,Water Pollution,Moderate,2018-07-18,Identified during river patrol,ENV0165.jpg,False
ENV0166,19.819211,74.403742,VLG015,Fire,Low,2020-05-15,Observed during field survey,ENV0166.jpg,True
ENV0167,19.902669,74.522698,VLG019,Pesticide Runoff,Critical,2024-12-31,Observed during field survey,ENV0167.jpg,True
ENV0168,19.802397,74.514249,VLG091,Illegal Tree Cutting,Critical,2016-11-29,Reported by local resident,ENV0168.jpg,True
ENV0169,19.901481,74.439209,VLG009,Encroachment,Low,2024-01-05,Identified during river patrol,ENV0169.jpg,False
ENV0170,19.93186,74.539961,VLG029,Water Pollution,Low,2025-02-15,Noted by forest officer,ENV0170.jpg,False
ENV0171,19.816474,74.552516,VLG071,Pesticide Runoff,Low,2020-07-19,Observed during field survey,ENV0171.jpg,False
ENV0172,19.921812,74.392189,VLG007,Pesticide Runoff,Critical,2022-01-19,Noted by forest officer,ENV0172.jpg,False
ENV0173,19.89864,74.572453,VLG059,Sewage Discharge,High,2024-08-08,Reported by local resident,ENV0173.jpg,False
ENV0174,19.903713,74.403941,VLG095,Pesticide Runoff,Critical,2017-07-19,Flagged via citizen report app,ENV0174.jpg,False
ENV0175,19.881474,74.568124,VLG026,Sand Mining,Moderate,2018-07-15,Identified during river patrol,ENV0175.jpg,True
ENV0176,19.922523,74.549891,VLG066,Fire,Moderate,2020-09-01,Flagged via citizen report app,ENV0176.jpg,False
ENV0177,19.948947,74.390639,VLG042,Soil Erosion,Low,2023-01-27,Reported by local resident,ENV0177.jpg,True
ENV0178,19.89245,74.559348,VLG100,Plastic Waste,Moderate,2025-11-30,Noted by forest officer,ENV0178.jpg,False
ENV0179,19.896924,74.352667,VLG063,Illegal Tree Cutting,High,2019-04-28,Flagged via citizen report app,ENV0179.jpg,False
ENV0180,19.878668,74.39124,VLG066,Sewage Discharge,Low,2026-04-08,Observed during field survey,ENV0180.jpg,True
ENV0181,19.926873,74.409437,VLG060,Water Pollution,Critical,2019-09-16,Reported by local resident,ENV0181.jpg,False
ENV0182,19.826347,74.439608,VLG068,Plastic Waste,Low,2025-11-11,Observed during field survey,ENV0182.jpg,True
ENV0183,19.874687,74.486085,VLG072,Water Pollution,Critical,2018-05-14,Flagged via citizen report app,ENV0183.jpg,False
ENV0184,19.940063,74.50017,VLG072,Sewage Discharge,Critical,2025-06-11,Noted by forest officer,ENV0184.jpg,True
ENV0185,19.84948,74.352635,VLG043,Illegal Tree Cutting,High,2026-01-07,Reported by local resident,ENV0185.jpg,True
ENV0186,19.943373,74.593121,VLG065,Invasive Species,High,2022-01-18,Identified during river patrol,ENV0186.jpg,False
ENV0187,19.943535,74.415184,VLG009,Sand Mining,Low,2021-02-06,Reported by local resident,ENV0187.jpg,True
ENV0188,19.834362,74.404789,VLG082,Plastic Waste,Critical,2017-02-28,Identified during river patrol,ENV0188.jpg,False
ENV0189,19.892475,74.579622,VLG054,Sand Mining,Low,2019-04-30,Noted by forest officer,ENV0189.jpg,True
ENV0190,19.811718,74.574511,VLG070,Sewage Discharge,Low,2021-03-10,Reported by local resident,ENV0190.jpg,True
ENV0191,19.942375,74.400443,VLG010,Pesticide Runoff,High,2023-03-24,Flagged via citizen report app,ENV0191.jpg,True
ENV0192,19.883956,74.443542,VLG002,Pesticide Runoff,Moderate,2016-10-14,Observed during field survey,ENV0192.jpg,True
ENV0193,19.838739,74.54199,VLG046,Sewage Discharge,Moderate,2023-04-18,Observed during field survey,ENV0193.jpg,True
ENV0194,19.94342,74.531884,VLG005,Plastic Waste,Critical,2018-05-20,Reported by local resident,ENV0194.jpg,True
ENV0195,19.841715,74.48822,VLG079,Encroachment,High,2026-03-21,Reported by local resident,ENV0195.jpg,False
ENV0196,19.806389,74.4979,VLG034,Water Pollution,High,2018-10-12,Flagged via citizen report app,ENV0196.jpg,False
ENV0197,19.933117,74.512168,VLG047,Invasive Species,Moderate,2019-08-18,Noted by forest officer,ENV0197.jpg,True
ENV0198,19.849896,74.503378,VLG030,Water Pollution,High,2025-03-26,Reported by local resident,ENV0198.jpg,True
ENV0199,19.824858,74.412511,VLG049,Illegal Tree Cutting,Low,2024-04-14,Noted by forest officer,ENV0199.jpg,True
ENV0200,19.847624,74.495496,VLG072,Fire,Moderate,2019-07-22,Observed during field survey,ENV0200.jpg,False
ENV0201,19.817277,74.577805,VLG033,Encroachment,Critical,2022-10-26,Identified during river patrol,ENV0201.jpg,True
ENV0202,19.867948,74.481553,VLG061,Water Pollution,Critical,2016-08-14,Observed during field survey,ENV0202.jpg,False
ENV0203,19.860376,74.521377,VLG039,Pesticide Runoff,Moderate,2025-03-26,Observed during field survey,ENV0203.jpg,False
ENV0204,19.915033,74.459771,VLG086,Pesticide Runoff,Moderate,2018-03-28,Noted by forest officer,ENV0204.jpg,False
ENV0205,19.901826,74.541086,VLG053,Encroachment,Moderate,2020-09-06,Identified during river patrol,ENV0205.jpg,False
ENV0206,19.831323,74.52985,VLG024,Plastic Waste,Critical,2018-12-22,Flagged via citizen report app,ENV0206.jpg,True
ENV0207,19.838772,74.534319,VLG038,Soil Erosion,Critical,2019-05-13,Noted by forest officer,ENV0207.jpg,False
ENV0208,19.947135,74.544707,VLG020,Pesticide Runoff,Moderate,2018-06-24,Noted by forest officer,ENV0208.jpg,False
ENV0209,19.803904,74.359654,VLG005,Plastic Waste,Moderate,2020-11-06,Noted by forest officer,ENV0209.jpg,True
ENV0210,19.811182,74.445579,VLG037,Water Pollution,Low,2025-07-13,Noted by forest officer,ENV0210.jpg,False
ENV0211,19.914741,74.504093,VLG063,Fire,Low,2023-07-13,Reported by local resident,ENV0211.jpg,True
ENV0212,19.876548,74.459714,VLG005,Soil Erosion,Low,2022-12-16,Noted by forest officer,ENV0212.jpg,False
ENV0213,19.896075,74.393625,VLG029,Invasive Species,Moderate,2024-07-31,Observed during field survey,ENV0213.jpg,True
ENV0214,19.94933,74.516257,VLG014,Invasive Species,Critical,2016-08-10,Identified during river patrol,ENV0214.jpg,False
ENV0215,19.857587,74.519727,VLG068,Illegal Tree Cutting,High,2021-08-25,Reported by local resident,ENV0215.jpg,False
ENV0216,19.916343,74.519491,VLG045,Illegal Tree Cutting,Critical,2025-11-12,Observed during field survey,ENV0216.jpg,True
ENV0217,19.87014,74.371323,VLG051,Fire,Critical,2019-11-06,Observed during field survey,ENV0217.jpg,True
ENV0218,19.849139,74.376588,VLG100,Soil Erosion,Moderate,2023-04-06,Noted by forest officer,ENV0218.jpg,False
ENV0219,19.9149,74.521819,VLG038,Encroachment,Moderate,2023-05-04,Flagged via citizen report app,ENV0219.jpg,False
ENV0220,19.81961,74.405844,VLG003,Illegal Tree Cutting,Critical,2019-10-27,Identified during river patrol,ENV0220.jpg,False
ENV0221,19.806466,74.553542,VLG060,Encroachment,High,2017-05-11,Reported by local resident,ENV0221.jpg,False
ENV0222,19.842643,74.530048,VLG034,Water Pollution,Critical,2025-11-06,Flagged via citizen report app,ENV0222.jpg,False
ENV0223,19.891652,74.599712,VLG069,Water Pollution,Moderate,2023-04-14,Identified during river patrol,ENV0223.jpg,False
ENV0224,19.922861,74.497633,VLG098,Pesticide Runoff,Low,2024-02-22,Reported by local resident,ENV0224.jpg,False
ENV0225,19.905656,74.575599,VLG031,Sewage Discharge,High,2018-08-10,Observed during field survey,ENV0225.jpg,True
ENV0226,19.822803,74.519119,VLG098,Pesticide Runoff,Moderate,2025-01-18,Identified during river patrol,ENV0226.jpg,True
ENV0227,19.884465,74.587864,VLG031,Soil Erosion,Moderate,2020-06-06,Flagged via citizen report app,ENV0227.jpg,True
ENV0228,19.943222,74.43847,VLG026,Fire,High,2021-01-26,Noted by forest officer,ENV0228.jpg,False
ENV0229,19.915706,74.464666,VLG099,Invasive Species,Critical,2021-04-26,Flagged via citizen report app,ENV0229.jpg,False
ENV0230,19.869709,74.390303,VLG087,Fire,High,2020-08-22,Identified during river patrol,ENV0230.jpg,False
