species_id,common_name,scientific_name,kingdom,phylum,class,order,family,genus,species,category,iucn_status,habitat,endemic,invasive,medicinal,pollinator,nocturnal,flowering_season,breeding_season,diet,average_lifespan_years,conservation_status,description,image_filename
SP0015,Asian Openbill,Anastomus oscitans,Animalia,Chordata,Aves,Passeriformes (var.),Anastomusidae,Anastomus,oscitans,Birds,Least Concern,Grassland,False,False,False,True,False,N/A,Year-round,Insectivore,17,Stable,"Asian Openbill (Anastomus oscitans) is a bird species recorded in the Kopargaon region, typically associated with urban garden habitat.",SP0015_Anastomus_oscitans.jpg
SP0016,Lesser Whistling Duck,Dendrocygna javanica,Animalia,Chordata,Aves,Passeriformes (var.),Dendrocygnaidae,Dendrocygna,javanica,Birds,Least Concern,Temple Grove,False,False,False,False,False,N/A,Dec-Feb,Nectarivore,20,Declining,"Lesser Whistling Duck (Dendrocygna javanica) is a bird species recorded in the Kopargaon region, typically associated with agricultural field habitat.",SP0016_Dendrocygna_javanica.jpg
SP0017,Indian Spot-billed Duck,Anas poecilorhyncha,Animalia,Chordata,Aves,Passeriformes (var.),Anasidae,Anas,poecilorhyncha,Birds,Least Concern,Agricultural Field,False,False,False,False,False,N/A,Mar-Jun,Granivore,16,Stable,"Indian Spot-billed Duck (Anas poecilorhyncha) is a bird species recorded in the Kopargaon region, typically associated with godavari river habitat.",SP0017_Anas_poecilorhyncha.jpg
SP0018,Common Kingfisher,Alcedo atthis,Animalia,Chordata,Aves,Passeriformes (var.),Alcedoidae,Alcedo,atthis,Birds,Least Concern,Agricultural Field,False,False,False,False,False,N/A,Year-round,Granivore,2,Increasing,"Common Kingfisher (Alcedo atthis) is a bird species recorded in the Kopargaon region, typically associated with urban garden habitat.",SP0018_Alcedo_atthis.jpg
SP0019,White-throated Kingfisher,Halcyon smyrnensis,Animalia,Chordata,Aves,Passeriformes (var.),Halcyonidae,Halcyon,smyrnensis,Birds,Near Threatened,Godavari River,False,False,False,False,False,N/A,Sep-Dec,Nectarivore,18,Stable,"White-throated Kingfisher (Halcyon smyrnensis) is a bird species recorded in the Kopargaon region, typically associated with grassland habitat.",SP0019_Halcyon_smyrnensis.jpg
SP0020,Pied Kingfisher,Ceryle rudis,Animalia,Chordata,Aves,Passeriformes (var.),Ceryleidae,Ceryle,rudis,Birds,Vulnerable,Godavari River,False,False,False,True,False,N/A,Mar-Jun,Nectarivore,6,Stable,"Pied Kingfisher (Ceryle rudis) is a bird species recorded in the Kopargaon region, typically associated with godavari river habitat.",SP0020_Ceryle_rudis.jpg
SP0021,Indian Roller,Coracias benghalensis,Animalia,Chordata,Aves,Passeriformes (var.),Coraciasidae,Coracias,benghalensis,Birds,Least Concern,Agricultural Field,False,False,False,False,False,N/A,Dec-Feb,Omnivore,6,Under Watch,"Indian Roller (Coracias benghalensis) is a bird species recorded in the Kopargaon region, typically associated with canal habitat.",SP0021_Coracias_benghalensis.jpg
SP0022,Green Bee-eater,Merops orientalis,Animalia,Chordata,Aves,Passeriformes (var.),Meropsidae,Merops,orientalis,Birds,Endangered,Agricultural Field,False,False,False,True,False,N/A,Dec-Feb,Granivore,9,Stable,"Green Bee-eater (Merops orientalis) is a bird species recorded in the Kopargaon region, typically associated with canal habitat.",SP0022_Merops_orientalis.jpg
SP0023,Blue-tailed Bee-eater,Merops philippinus,Animalia,Chordata,Aves,Passeriformes (var.),Meropsidae,Merops,philippinus,Birds,Least Concern,Urban Garden,True,False,False,False,False,N/A,Year-round,Carnivore,14,Stable,"Blue-tailed Bee-eater (Merops philippinus) is a bird species recorded in the Kopargaon region, typically associated with agricultural field habitat.",SP0023_Merops_philippinus.jpg
SP0024,Common Hoopoe,Upupa epops,Animalia,Chordata,Aves,Passeriformes (var.),Upupaidae,Upupa,epops,Birds,Least Concern,Agricultural Field,False,False,False,False,False,N/A,Year-round,Carnivore,5,Increasing,"Common Hoopoe (Upupa epops) is a bird species recorded in the Kopargaon region, typically associated with wetland habitat.",SP0024_Upupa_epops.jpg
SP0025,Coppersmith Barbet,Psilopogon haemacephalus,Animalia,Chordata,Aves,Passeriformes (var.),Psilopogonidae,Psilopogon,haemacephalus,Birds,Endangered,Temple Grove,False,False,False,False,False,N/A,Mar-Jun,Nectarivore,11,Under Watch,"Coppersmith Barbet (Psilopogon haemacephalus) is a bird species recorded in the Kopargaon region, typically associated with godavari river habitat.",SP0025_Psilopogon_haemacephalus.jpg
SP0026,White-cheeked Barbet,Psilopogon viridis,Animalia,Chordata,Aves,Passeriformes (var.),Psilopogonidae,Psilopogon,viridis,Birds,Least Concern,Temple Grove,False,False,False,False,False,N/A,Mar-Jun,Insectivore,11,Under Watch,"White-cheeked Barbet (Psilopogon viridis) is a bird species recorded in the Kopargaon region, typically associated with agricultural field habitat.",SP0026_Psilopogon_viridis.jpg
SP0027,Black Drongo,Dicrurus macrocercus,Animalia,Chordata,Aves,Passeriformes (var.),Dicrurusidae,Dicrurus,macrocercus,Birds,Not Evaluated,Grassland,False,False,False,False,False,N/A,Jun-Sep,Nectarivore,11,Stable,"Black Drongo (Dicrurus macrocercus) is a bird species recorded in the Kopargaon region, typically associated with urban garden habitat.",SP0027_Dicrurus_macrocercus.jpg
SP0028,Ashy Drongo,Dicrurus leucophaeus,Animalia,Chordata,Aves,Passeriformes (var.),Dicrurusidae,Dicrurus,leucophaeus,Birds,Least Concern,Grassland,False,False,False,False,False,N/A,Jun-Sep,Omnivore,6,Stable,"Ashy Drongo (Dicrurus leucophaeus) is a bird species recorded in the Kopargaon region, typically associated with canal habitat.",SP0028_Dicrurus_leucophaeus.jpg
SP0029,Indian Golden Oriole,Oriolus kundoo,Animalia,Chordata,Aves,Passeriformes (var.),Oriolusidae,Oriolus,kundoo,Birds,Near Threatened,Canal,False,False,False,False,False,N/A,Sep-Dec,Frugivore,16,Stable,"Indian Golden Oriole (Oriolus kundoo) is a bird species recorded in the Kopargaon region, typically associated with grassland habitat.",SP0029_Oriolus_kundoo.jpg
SP0030,Rufous Treepie,Dendrocitta vagabunda,Animalia,Chordata,Aves,Passeriformes (var.),Dendrocittaidae,Dendrocitta,vagabunda,Birds,Least Concern,Grassland,False,False,False,True,False,N/A,Sep-Dec,Carnivore,9,Stable,"Rufous Treepie (Dendrocitta vagabunda) is a bird species recorded in the Kopargaon region, typically associated with agricultural field habitat.",SP0030_Dendrocitta_vagabunda.jpg
SP0031,House Crow,Corvus splendens,Animalia,Chordata,Aves,Passeriformes (var.),Corvusidae,Corvus,splendens,Birds,Data Deficient,Temple Grove,False,False,False,False,False,N/A,Dec-Feb,Nectarivore,14,Declining,"House Crow (Corvus splendens) is a bird species recorded in the Kopargaon region, typically associated with urban garden habitat.",SP0031_Corvus_splendens.jpg
SP0032,Large-billed Crow,Corvus macrorhynchos,Animalia,Chordata,Aves,Passeriformes (var.),Corvusidae,Corvus,macrorhynchos,Birds,Least Concern,Grassland,False,False,False,False,False,N/A,Sep-Dec,Frugivore,15,Increasing,"Large-billed Crow (Corvus macrorhynchos) is a bird species recorded in the Kopargaon region, typically associated with urban garden habitat.",SP0032_Corvus_macrorhynchos.jpg
SP0033,Rose-ringed Parakeet,Psittacula krameri,Animalia,Chordata,Aves,Passeriformes (var.),Psittaculaidae,Psittacula,krameri,Birds,Near Threatened,Canal,False,False,False,False,False,N/A,Dec-Feb,Insectivore,7,Declining,"Rose-ringed Parakeet (Psittacula krameri) is a bird species recorded in the Kopargaon region, typically associated with grassland habitat.",SP0033_Psittacula_krameri.jpg
SP0034,Alexandrine Parakeet,Psittacula eupatria,Animalia,Chordata,Aves,Passeriformes (var.),Psittaculaidae,Psittacula,eupatria,Birds,Least Concern,Urban Garden,True,False,False,False,False,N/A,Sep-Dec,Omnivore,9,Declining,"Alexandrine Parakeet (Psittacula eupatria) is a bird species recorded in the Kopargaon region, typically associated with grassland habitat.",SP0034_Psittacula_eupatria.jpg
SP0035,Common Tailorbird,Orthotomus sutorius,Animalia,Chordata,Aves,Passeriformes (var.),Orthotomusidae,Orthotomus,sutorius,Birds,Least Concern,Urban Garden,False,False,False,False,False,N/A,Year-round,Nectarivore,5,Stable,"Common Tailorbird (Orthotomus sutorius) is a bird species recorded in the Kopargaon region, typically associated with canal habitat.",SP0035_Orthotomus_sutorius.jpg
SP0036,Ashy Prinia,Prinia socialis,Animalia,Chordata,Aves,Passeriformes (var.),Priniaidae,Prinia,socialis,Birds,Least Concern,Canal,False,False,False,False,False,N/A,Year-round,Carnivore,5,Stable,"Ashy Prinia (Prinia socialis) is a bird species recorded in the Kopargaon region, typically associated with canal habitat.",SP0036_Prinia_socialis.jpg
SP0037,Plain Prinia,Prinia inornata,Animalia,Chordata,Aves,Passeriformes (var.),Priniaidae,Prinia,inornata,Birds,Least Concern,Agricultural Field,False,False,False,False,False,N/A,Dec-Feb,Carnivore,6,Stable,"Plain Prinia (Prinia inornata) is a bird species recorded in the Kopargaon region, typically associated with godavari river habitat.",SP0037_Prinia_inornata.jpg
SP0038,Purple Sunbird,Cinnyris asiaticus,Animalia,Chordata,Aves,Passeriformes (var.),Cinnyrisidae,Cinnyris,asiaticus,Birds,Near Threatened,Urban Garden,False,False,False,False,False,N/A,Sep-Dec,Insectivore,2,Increasing,"Purple Sunbird (Cinnyris asiaticus) is a bird species recorded in the Kopargaon region, typically associated with urban garden habitat.",SP0038_Cinnyris_asiaticus.jpg
SP0039,Purple-rumped Sunbird,Leptocoma zeylonica,Animalia,Chordata,Aves,Passeriformes (var.),Leptocomaidae,Leptocoma,zeylonica,Birds,Least Concern,Agricultural Field,False,False,False,False,False,N/A,Dec-Feb,Nectarivore,19,Declining,"Purple-rumped Sunbird (Leptocoma zeylonica) is a bird species recorded in the Kopargaon region, typically associated with urban garden habitat.",SP0039_Leptocoma_zeylonica.jpg
SP0040,Oriental White-eye,Zosterops palpebrosus,Animalia,Chordata,Aves,Passeriformes (var.),Zosteropsidae,Zosterops,palpebrosus,Birds,Data Deficient,Canal,False,False,False,False,False,N/A,Year-round,Nectarivore,12,Stable,"Oriental White-eye (Zosterops palpebrosus) is a bird species recorded in the Kopargaon region, typically associated with godavari river habitat.",SP0040_Zosterops_palpebrosus.jpg
SP0041,Red-vented Bulbul,Pycnonotus cafer,Animalia,Chordata,Aves,Passeriformes (var.),Pycnonotusidae,Pycnonotus,cafer,Birds,Data Deficient,Godavari River,False,False,False,False,False,N/A,Year-round,Granivore,18,Under Watch,"Red-vented Bulbul (Pycnonotus cafer) is a bird species recorded in the Kopargaon region, typically associated with wetland habitat.",SP0041_Pycnonotus_cafer.jpg
SP0042,Red-whiskered Bulbul,Pycnonotus jocosus,Animalia,Chordata,Aves,Passeriformes (var.),Pycnonotusidae,Pycnonotus,jocosus,Birds,Not Evaluated,Wetland,False,False,False,False,False,N/A,Jun-Sep,Insectivore,17,Stable,"Red-whiskered Bulbul (Pycnonotus jocosus) is a bird species recorded in the Kopargaon region, typically associated with grassland habitat.",SP0042_Pycnonotus_jocosus.jpg
SP0043,White-browed Bulbul,Pycnonotus luteolus,Animalia,Chordata,Aves,Passeriformes (var.),Pycnonotusidae,Pycnonotus,luteolus,Birds,Not Evaluated,Agricultural Field,False,False,False,False,False,N/A,Jun-Sep,Frugivore,6,Declining,"White-browed Bulbul (Pycnonotus luteolus) is a bird species recorded in the Kopargaon region, typically associated with grassland habitat.",SP0043_Pycnonotus_luteolus.jpg
SP0044,Indian Robin,Copsychus fulicatus,Animalia,Chordata,Aves,Passeriformes (var.),Copsychusidae,Copsychus,fulicatus,Birds,Not Evaluated,Temple Grove,False,False,False,False,False,N/A,Mar-Jun,Frugivore,8,Declining,"Indian Robin (Copsychus fulicatus) is a bird species recorded in the Kopargaon region, typically associated with grassland habitat.",SP0044_Copsychus_fulicatus.jpg
SP0045,Oriental Magpie-Robin,Copsychus saularis,Animalia,Chordata,Aves,Passeriformes (var.),Copsychusidae,Copsychus,saularis,Birds,Least Concern,Wetland,False,False,False,False,False,N/A,Dec-Feb,Omnivore,4,Stable,"Oriental Magpie-Robin (Copsychus saularis) is a bird species recorded in the Kopargaon region, typically associated with canal habitat.",SP0045_Copsychus_saularis.jpg
SP0046,Pied Bushchat,Saxicola caprata,Animalia,Chordata,Aves,Passeriformes (var.),Saxicolaidae,Saxicola,caprata,Birds,Least Concern,Grassland,False,False,False,False,False,N/A,Sep-Dec,Nectarivore,16,Increasing,"Pied Bushchat (Saxicola caprata) is a bird species recorded in the Kopargaon region, typically associated with agricultural field habitat.",SP0046_Saxicola_caprata.jpg
SP0047,Siberian Stonechat,Saxicola maurus,Animalia,Chordata,Aves,Passeriformes (var.),Saxicolaidae,Saxicola,maurus,Birds,Endangered,Temple Grove,False,True,False,False,False,N/A,Year-round,Carnivore,20,Increasing,"Siberian Stonechat (Saxicola maurus) is a bird species recorded in the Kopargaon region, typically associated with wetland habitat.",SP0047_Saxicola_maurus.jpg
SP0048,Zitting Cisticola,Cisticola juncidis,Animalia,Chordata,Aves,Passeriformes (var.),Cisticolaidae,Cisticola,juncidis,Birds,Near Threatened,Agricultural Field,False,False,False,False,False,N/A,Mar-Jun,Insectivore,7,Stable,"Zitting Cisticola (Cisticola juncidis) is a bird species recorded in the Kopargaon region, typically associated with canal habitat.",SP0048_Cisticola_juncidis.jpg
SP0049,Baya Weaver,Ploceus philippinus,Animalia,Chordata,Aves,Passeriformes (var.),Ploceusidae,Ploceus,philippinus,Birds,Least Concern,Agricultural Field,False,False,False,False,False,N/A,Year-round,Carnivore,16,Increasing,"Baya Weaver (Ploceus philippinus) is a bird species recorded in the Kopargaon region, typically associated with temple grove habitat.",SP0049_Ploceus_philippinus.jpg
SP0050,Scaly-breasted Munia,Lonchura punctulata,Animalia,Chordata,Aves,Passeriformes (var.),Lonchuraidae,Lonchura,punctulata,Birds,Not Evaluated,Temple Grove,False,True,False,False,False,N/A,Jun-Sep,Granivore,7,Stable,"Scaly-breasted Munia (Lonchura punctulata) is a bird species recorded in the Kopargaon region, typically associated with urban garden habitat.",SP0050_Lonchura_punctulata.jpg
SP0051,Indian Silverbill,Euodice malabarica,Animalia,Chordata,Aves,Passeriformes (var.),Euodiceidae,Euodice,malabarica,Birds,Vulnerable,Canal,False,False,False,False,False,N/A,Dec-Feb,Frugivore,9,Declining,"Indian Silverbill (Euodice malabarica) is a bird species recorded in the Kopargaon region, typically associated with agricultural field habitat.",SP0051_Euodice_malabarica.jpg
SP0052,White-rumped Munia,Lonchura striata,Animalia,Chordata,Aves,Passeriformes (var.),Lonchuraidae,Lonchura,striata,Birds,Least Concern,Urban Garden,False,False,False,False,False,N/A,Year-round,Carnivore,20,Stable,"White-rumped Munia (Lonchura striata) is a bird species recorded in the Kopargaon region, typically associated with godavari river habitat.",SP0052_Lonchura_striata.jpg
SP0053,Common Iora,Aegithina tiphia,Animalia,Chordata,Aves,Passeriformes (var.),Aegithinaidae,Aegithina,tiphia,Birds,Least Concern,Urban Garden,False,False,False,False,False,N/A,Dec-Feb,Carnivore,14,Declining,"Common Iora (Aegithina tiphia) is a bird species recorded in the Kopargaon region, typically associated with wetland habitat.",SP0053_Aegithina_tiphia.jpg
SP0054,Black-rumped Flameback,Dinopium benghalense,Animalia,Chordata,Aves,Passeriformes (var.),Dinopiumidae,Dinopium,benghalense,Birds,Not Evaluated,Canal,False,False,False,False,False,N/A,Jun-Sep,Frugivore,4,Stable,"Black-rumped Flameback (Dinopium benghalense) is a bird species recorded in the Kopargaon region, typically associated with wetland habitat.",SP0054_Dinopium_benghalense.jpg
SP0055,Greater Coucal,Centropus sinensis,Animalia,Chordata,Aves,Passeriformes (var.),Centropusidae,Centropus,sinensis,Birds,Least Concern,Agricultural Field,False,False,False,False,False,N/A,Sep-Dec,Granivore,9,Stable,"Greater Coucal (Centropus sinensis) is a bird species recorded in the Kopargaon region, typically associated with agricultural field habitat.",SP0055_Centropus_sinensis.jpg
SP0056,Asian Koel,Eudynamys scolopaceus,Animalia,Chordata,Aves,Passeriformes (var.),Eudynamysidae,Eudynamys,scolopaceus,Birds,Near Threatened,Grassland,False,False,False,False,False,N/A,Jun-Sep,Granivore,7,Under Watch,"Asian Koel (Eudynamys scolopaceus) is a bird species recorded in the Kopargaon region, typically associated with temple grove habitat.",SP0056_Eudynamys_scolopaceus.jpg
SP0057,Indian Grey Hornbill,Ocyceros birostris,Animalia,Chordata,Aves,Passeriformes (var.),Ocycerosidae,Ocyceros,birostris,Birds,Not Evaluated,Wetland,True,False,False,False,False,N/A,Year-round,Omnivore,7,Declining,"Indian Grey Hornbill (Ocyceros birostris) is a bird species recorded in the Kopargaon region, typically associated with grassland habitat.",SP0057_Ocyceros_birostris.jpg
SP0058,Brahminy Kite,Haliastur indus,Animalia,Chordata,Aves,Passeriformes (var.),Haliasturidae,Haliastur,indus,Birds,Vulnerable,Godavari River,False,False,False,False,False,N/A,Sep-Dec,Nectarivore,2,Stable,"Brahminy Kite (Haliastur indus) is a bird species recorded in the Kopargaon region, typically associated with godavari river habitat.",SP0058_Haliastur_indus.jpg
SP0059,Shikra,Accipiter badius,Animalia,Chordata,Aves,Passeriformes (var.),Accipiteridae,Accipiter,badius,Birds,Vulnerable,Temple Grove,False,False,False,False,False,N/A,Jun-Sep,Carnivore,5,Stable,"Shikra (Accipiter badius) is a bird species recorded in the Kopargaon region, typically associated with godavari river habitat.",SP0059_Accipiter_badius.jpg
SP0060,Changeable Hawk-Eagle,Nisaetus cirrhatus,Animalia,Chordata,Aves,Passeriformes (var.),Nisaetusidae,Nisaetus,cirrhatus,Birds,Not Evaluated,Wetland,False,False,False,False,False,N/A,Sep-Dec,Omnivore,18,Stable,"Changeable Hawk-Eagle (Nisaetus cirrhatus) is a bird species recorded in the Kopargaon region, typically associated with canal habitat.",SP0060_Nisaetus_cirrhatus.jpg
SP0061,Short-toed Snake Eagle,Circaetus gallicus,Animalia,Chordata,Aves,Passeriformes (var.),Circaetusidae,Circaetus,gallicus,Birds,Near Threatened,Urban Garden,False,False,False,False,False,N/A,Dec-Feb,Carnivore,19,Under Watch,"Short-toed Snake Eagle (Circaetus gallicus) is a bird species recorded in the Kopargaon region, typically associated with canal habitat.",SP0061_Circaetus_gallicus.jpg
SP0062,Egyptian Vulture,Neophron percnopterus,Animalia,Chordata,Aves,Passeriformes (var.),Neophronidae,Neophron,percnopterus,Birds,Least Concern,Godavari River,False,False,False,False,False,N/A,Dec-Feb,Insectivore,2,Declining,"Egyptian Vulture (Neophron percnopterus) is a bird species recorded in the Kopargaon region, typically associated with wetland habitat.",SP0062_Neophron_percnopterus.jpg
SP0063,White-rumped Vulture,Gyps bengalensis,Animalia,Chordata,Aves,Passeriformes (var.),Gypsidae,Gyps,bengalensis,Birds,Near Threatened,Wetland,False,False,False,True,False,N/A,Year-round,Nectarivore,6,Declining,"White-rumped Vulture (Gyps bengalensis) is a bird species recorded in the Kopargaon region, typically associated with agricultural field habitat.",SP0063_Gyps_bengalensis.jpg
SP0064,Bar-headed Goose,Anser indicus,Animalia,Chordata,Aves,Passeriformes (var.),Anseridae,Anser,indicus,Birds,Least Concern,Temple Grove,False,False,False,False,False,N/A,Sep-Dec,Omnivore,5,Declining,"Bar-headed Goose (Anser indicus) is a bird species recorded in the Kopargaon region, typically associated with temple grove habitat.",SP0064_Anser_indicus.jpg
SP0065,Ruddy Shelduck,Tadorna ferruginea,Animalia,Chordata,Aves,Passeriformes (var.),Tadornaidae,Tadorna,ferruginea,Birds,Vulnerable,Canal,False,False,False,True,False,N/A,Sep-Dec,Omnivore,9,Stable,"Ruddy Shelduck (Tadorna ferruginea) is a bird species recorded in the Kopargaon region, typically associated with canal habitat.",SP0065_Tadorna_ferruginea.jpg
SP0066,Northern Shoveler,Spatula clypeata,Animalia,Chordata,Aves,Passeriformes (var.),Spatulaidae,Spatula,clypeata,Birds,Least Concern,Godavari River,False,True,False,False,False,N/A,Jun-Sep,Granivore,6,Stable,"Northern Shoveler (Spatula clypeata) is a bird species recorded in the Kopargaon region, typically associated with wetland habitat.",SP0066_Spatula_clypeata.jpg
SP0067,Common Teal,Anas crecca,Animalia,Chordata,Aves,Passeriformes (var.),Anasidae,Anas,crecca,Birds,Least Concern,Wetland,False,False,False,True,False,N/A,Mar-Jun,Carnivore,17,Declining,"Common Teal (Anas crecca) is a bird species recorded in the Kopargaon region, typically associated with canal habitat.",SP0067_Anas_crecca.jpg
SP0068,Eurasian Coot,Fulica atra,Animalia,Chordata,Aves,Passeriformes (var.),Fulicaidae,Fulica,atra,Birds,Near Threatened,Grassland,False,False,False,False,False,N/A,Dec-Feb,Frugivore,4,Increasing,"Eurasian Coot (Fulica atra) is a bird species recorded in the Kopargaon region, typically associated with urban garden habitat.",SP0068_Fulica_atra.jpg
SP0069,Purple Swamphen,Porphyrio porphyrio,Animalia,Chordata,Aves,Passeriformes (var.),Porphyrioidae,Porphyrio,porphyrio,Birds,Vulnerable,Grassland,False,False,False,True,False,N/A,Year-round,Granivore,8,Stable,"Purple Swamphen (Porphyrio porphyrio) is a bird species recorded in the Kopargaon region, typically associated with temple grove habitat.",SP0069_Porphyrio_porphyrio.jpg
SP0070,White-breasted Waterhen,Amaurornis phoenicurus,Animalia,Chordata,Aves,Passeriformes (var.),Amaurornisidae,Amaurornis,phoenicurus,Birds,Data Deficient,Urban Garden,False,False,False,False,False,N/A,Dec-Feb,Granivore,4,Stable,"White-breasted Waterhen (Amaurornis phoenicurus) is a bird species recorded in the Kopargaon region, typically associated with temple grove habitat.",SP0070_Amaurornis_phoenicurus.jpg
SP0071,Common Moorhen,Gallinula chloropus,Animalia,Chordata,Aves,Passeriformes (var.),Gallinulaidae,Gallinula,chloropus,Birds,Least Concern,Canal,False,False,False,False,False,N/A,Dec-Feb,Insectivore,3,Declining,"Common Moorhen (Gallinula chloropus) is a bird species recorded in the Kopargaon region, typically associated with agricultural field habitat.",SP0071_Gallinula_chloropus.jpg
SP0072,Pheasant-tailed Jacana,Hydrophasianus chirurgus,Animalia,Chordata,Aves,Passeriformes (var.),Hydrophasianusidae,Hydrophasianus,chirurgus,Birds,Least Concern,Godavari River,False,False,False,False,False,N/A,Year-round,Omnivore,9,Stable,"Pheasant-tailed Jacana (Hydrophasianus chirurgus) is a bird species recorded in the Kopargaon region, typically associated with urban garden habitat.",SP0072_Hydrophasianus_chirurgus.jpg
