image_id,species_id,observation_id,filename,photographer,upload_date,gps_latitude,gps_longitude,image_category
IMG00055,SP0158,,IMG00055_SP0158.jpg,Vikram Joshi,2017-03-11,19.804998,74.428066,Wildlife
IMG00056,SP0007,,IMG00056_SP0007.jpg,Om Bhosale,2025-02-10,19.907096,74.464252,Wildlife
IMG00057,SP0019,OBS003197,IMG00057_SP0019.jpg,Nikhil Deshpande,2026-07-01,19.904379,74.574555,Habitat
IMG00058,SP0253,OBS002803,IMG00058_SP0253.jpg,Neha Pawar,2024-01-17,19.837402,74.557039,Habitat
IMG00059,SP0077,OBS000413,IMG00059_SP0077.jpg,Amit Kulkarni,2023-09-18,19.93761,74.559871,Water Body
IMG00060,SP0070,OBS012063,IMG00060_SP0070.jpg,Neha Deshpande,2018-09-28,19.940146,74.57754,Wildlife
IMG00061,SP0002,OBS002998,IMG00061_SP0002.jpg,Vikram Joshi,2020-01-24,19.857088,74.410935,Water Body
IMG00062,SP0460,OBS007973,IMG00062_SP0460.jpg,Rahul Pawar,2021-11-03,19.82103,74.576585,Habitat
IMG00063,SP0019,OBS008853,IMG00063_SP0019.jpg,Aarti Jadhav,2021-04-06,19.849752,74.571092,Habitat
IMG00064,SP0208,,IMG00064_SP0208.jpg,Tejas Jadhav,2019-09-08,19.866886,74.457321,Wildlife
IMG00065,SP0128,OBS006721,IMG00065_SP0128.jpg,Rahul Deshpande,2022-07-02,19.884855,74.459748,Flora
IMG00066,SP0442,OBS002343,IMG00066_SP0442.jpg,Rajesh Kale,2019-07-22,19.855167,74.521184,Habitat
IMG00067,SP0397,OBS003838,IMG00067_SP0397.jpg,Kirti Kale,2022-02-20,19.831927,74.54008,Wildlife
IMG00068,SP0005,OBS003675,IMG00068_SP0005.jpg,Nikhil Deshpande,2026-02-09,19.869376,74.543102,Flora
IMG00069,SP0068,OBS008570,IMG00069_SP0068.jpg,Tejas Jadhav,2020-04-03,19.877845,74.500306,Citizen Submission
IMG00070,SP0011,OBS005634,IMG00070_SP0011.jpg,Nikhil Pawar,2023-08-10,19.858988,74.475288,Field Survey
IMG00071,SP0216,,IMG00071_SP0216.jpg,Nikhil Deshpande,2018-05-13,19.861148,74.539899,Habitat
IMG00072,SP0089,OBS000603,IMG00072_SP0089.jpg,Pooja Bhosale,2024-09-14,19.831485,74.385482,Field Survey
IMG00073,SP0099,OBS008223,IMG00073_SP0099.jpg,Amit Kulkarni,2017-12-08,19.809535,74.375509,Flora
IMG00074,SP0446,OBS005854,IMG00074_SP0446.jpg,Om Bhosale,2023-04-28,19.863127,74.576288,Flora
IMG00075,SP0435,,IMG00075_SP0435.jpg,Kirti Kulkarni,2023-10-18,19.909351,74.408172,Flora
IMG00076,SP0168,OBS015864,IMG00076_SP0168.jpg,Nikhil Deshpande,2022-07-20,19.826532,74.478545,Flora
IMG00077,SP0010,,IMG00077_SP0010.jpg,Om Bhosale,2026-05-28,19.93986,74.362844,Water Body
IMG00078,SP0242,OBS018761,IMG00078_SP0242.jpg,Rahul Deshpande,2019-06-22,19.817535,74.396094,Flora
IMG00079,SP0196,,IMG00079_SP0196.jpg,Nikhil Pawar,2019-04-28,19.806885,74.457834,Flora
IMG00080,SP0223,OBS015416,IMG00080_SP0223.jpg,Aarti Joshi,2025-07-17,19.832001,74.48326,Field Survey
IMG00081,SP0016,,IMG00081_SP0016.jpg,Rahul Deshpande,2026-07-10,19.802802,74.568522,Flora
IMG00082,SP0136,OBS016621,IMG00082_SP0136.jpg,Tejas Joshi,2023-09-22,19.887492,74.528627,Field Survey
IMG00083,SP0130,OBS018960,IMG00083_SP0130.jpg,Priyanka More,2017-07-05,19.835299,74.386072,Habitat
IMG00084,SP0443,OBS018335,IMG00084_SP0443.jpg,Vikram Jadhav,2023-09-07,19.933817,74.584373,Water Body
IMG00085,SP0140,,IMG00085_SP0140.jpg,Sandeep Patil,2018-02-24,19.816563,74.546185,Water Body
IMG00086,SP0164,,IMG00086_SP0164.jpg,Tejas Joshi,2024-06-20,19.818465,74.567227,Wildlife
IMG00087,SP0250,,IMG00087_SP0250.jpg,Sneha More,2022-01-04,19.828016,74.545573,Citizen Submission
IMG00088,SP0157,OBS008852,IMG00088_SP0157.jpg,Amit Kulkarni,2018-02-26,19.850753,74.508926,Flora
IMG00089,SP0413,OBS011873,IMG00089_SP0413.jpg,Amit Kulkarni,2018-07-19,19.891734,74.577991,Citizen Submission
IMG00090,SP0432,OBS000767,IMG00090_SP0432.jpg,Priyanka Patil,2026-07-17,19.907457,74.391913,Wildlife
IMG00091,SP0035,OBS013346,IMG00091_SP0035.jpg,Aarti Joshi,2023-02-08,19.877431,74.561754,Field Survey
IMG00092,SP0199,OBS002774,IMG00092_SP0199.jpg,Kirti Kale,2019-06-30,19.858153,74.467683,Habitat
IMG00093,SP0357,,IMG00093_SP0357.jpg,Tejas Joshi,2021-05-09,19.910769,74.513589,Flora
IMG00094,SP0268,OBS006689,IMG00094_SP0268.jpg,Rahul Deshpande,2025-03-30,19.933484,74.418434,Field Survey
IMG00095,SP0116,OBS001054,IMG00095_SP0116.jpg,Rahul Pawar,2022-11-24,19.948346,74.477413,Wildlife
IMG00096,SP0283,OBS019316,IMG00096_SP0283.jpg,Priyanka Patil,2023-09-12,19.937577,74.531392,Citizen Submission
IMG00097,SP0044,OBS005852,IMG00097_SP0044.jpg,Neha Pawar,2018-06-27,19.918289,74.43584,Citizen Submission
IMG00098,SP0006,OBS011635,IMG00098_SP0006.jpg,Tejas Jadhav,2019-11-11,19.900394,74.599367,Water Body
IMG00099,SP0398,OBS006091,IMG00099_SP0398.jpg,Vikram Joshi,2023-10-12,19.857134,74.525036,Field Survey
IMG00100,SP0115,,IMG00100_SP0115.jpg,Pooja Shinde,2024-10-13,19.900789,74.592758,Citizen Submission
IMG00101,SP0234,,IMG00101_SP0234.jpg,Vikram Jadhav,2016-09-17,19.809471,74.515512,Field Survey
IMG00102,SP0315,OBS015924,IMG00102_SP0315.jpg,Om Bhosale,2016-09-11,19.94576,74.444324,Field Survey
IMG00103,SP0040,OBS002286,IMG00103_SP0040.jpg,Rahul Pawar,2022-05-26,19.845171,74.48491,Citizen Submission
IMG00104,SP0173,OBS008219,IMG00104_SP0173.jpg,Vikram Joshi,2019-01-22,19.908827,74.486494,Field Survey
IMG00105,SP0339,OBS005428,IMG00105_SP0339.jpg,Rahul Deshpande,2019-03-08,19.948911,74.539116,Field Survey
IMG00106,SP0080,OBS017885,IMG00106_SP0080.jpg,Sneha More,2023-03-29,19.916887,74.500083,Flora
IMG00107,SP0114,OBS008900,IMG00107_SP0114.jpg,Tejas Jadhav,2023-01-05,19.931013,74.467769,Flora
IMG00108,SP0254,OBS007367,IMG00108_SP0254.jpg,Sandeep Patil,2018-06-08,19.861426,74.53509,Wildlife
IMG00109,SP0147,OBS001872,IMG00109_SP0147.jpg,Kirti Kale,2021-12-18,19.832341,74.520065,Habitat
IMG00110,SP0306,,IMG00110_SP0306.jpg,Aarti Jadhav,2021-05-31,19.856223,74.362751,Wildlife
IMG00111,SP0125,OBS016174,IMG00111_SP0125.jpg,Priyanka More,2018-06-05,19.805009,74.48062,Water Body
IMG00112,SP0074,OBS018259,IMG00112_SP0074.jpg,Om Bhosale,2022-08-24,19.883189,74.389676,Habitat
IMG00113,SP0342,OBS011012,IMG00113_SP0342.jpg,Vikram Jadhav,2025-11-06,19.838121,74.357977,Flora
IMG00114,SP0153,,IMG00114_SP0153.jpg,Vikram Jadhav,2019-07-19,19.917769,74.599102,Flora
IMG00115,SP0029,OBS019003,IMG00115_SP0029.jpg,Neha Deshpande,2025-01-23,19.912361,74.522879,Wildlife
IMG00116,SP0427,OBS004290,IMG00116_SP0427.jpg,Pooja Shinde,2019-01-02,19.917625,74.468755,Field Survey
IMG00117,SP0162,,IMG00117_SP0162.jpg,Rajesh Kulkarni,2024-02-07,19.870157,74.591489,Citizen Submission
IMG00118,SP0109,OBS001978,IMG00118_SP0109.jpg,Amit Kale,2023-05-20,19.802855,74.546375,Habitat
IMG00119,SP0095,OBS002278,IMG00119_SP0095.jpg,Tejas Joshi,2020-02-29,19.814704,74.380865,Citizen Submission
IMG00120,SP0240,OBS000220,IMG00120_SP0240.jpg,Vikram Jadhav,2017-01-10,19.906098,74.549251,Field Survey
IMG00121,SP0369,OBS018491,IMG00121_SP0369.jpg,Tejas Joshi,2017-03-29,19.943563,74.544965,Habitat
IMG00122,SP0450,,IMG00122_SP0450.jpg,Vikram Joshi,2018-02-13,19.851343,74.539938,Wildlife
IMG00123,SP0309,,IMG00123_SP0309.jpg,Sandeep Patil,2016-09-21,19.926049,74.550466,Water Body
IMG00124,SP0423,OBS012775,IMG00124_SP0423.jpg,Tejas Jadhav,2016-08-14,19.857375,74.4851,Flora
IMG00125,SP0274,OBS007103,IMG00125_SP0274.jpg,Neha Deshpande,2023-03-20,19.836458,74.392724,Field Survey
IMG00126,SP0324,OBS010176,IMG00126_SP0324.jpg,Rahul Pawar,2020-01-04,19.81213,74.582428,Flora
IMG00127,SP0243,OBS005851,IMG00127_SP0243.jpg,Sandeep More,2022-08-03,19.843532,74.582588,Citizen Submission
IMG00128,SP0038,OBS006995,IMG00128_SP0038.jpg,Pooja Shinde,2025-09-11,19.842274,74.497445,Flora
IMG00129,SP0033,OBS017972,IMG00129_SP0033.jpg,Tejas Jadhav,2022-02-13,19.885822,74.476297,Flora
IMG00130,SP0389,OBS012957,IMG00130_SP0389.jpg,Amit Kulkarni,2020-02-06,19.853017,74.452341,Wildlife
IMG00131,SP0133,,IMG00131_SP0133.jpg,Tejas Joshi,2022-06-01,19.871286,74.415503,Habitat
IMG00132,SP0288,OBS002696,IMG00132_SP0288.jpg,Om Shinde,2022-02-24,19.859989,74.362748,Flora
IMG00133,SP0406,,IMG00133_SP0406.jpg,Tejas Jadhav,2019-01-21,19.923852,74.419412,Habitat
IMG00134,SP0329,OBS002294,IMG00134_SP0329.jpg,Pooja Bhosale,2025-01-06,19.872644,74.447797,Citizen Submission
IMG00135,SP0307,OBS004679,IMG00135_SP0307.jpg,Sandeep More,2018-09-04,19.807031,74.461657,Flora
IMG00136,SP0230,OBS006301,IMG00136_SP0230.jpg,Swati Shinde,2018-02-17,19.902026,74.530893,Water Body
IMG00137,SP0038,OBS005443,IMG00137_SP0038.jpg,Rahul Deshpande,2017-04-08,19.873427,74.580328,Habitat
IMG00138,SP0145,,IMG00138_SP0145.jpg,Kirti Kale,2020-10-22,19.884872,74.460264,Citizen Submission
IMG00139,SP0222,OBS001087,IMG00139_SP0222.jpg,Rajesh Kale,2023-02-11,19.859757,74.568266,Flora
IMG00140,SP0105,OBS002082,IMG00140_SP0105.jpg,Kirti Kale,2023-09-23,19.84902,74.552243,Wildlife
IMG00141,SP0258,OBS019673,IMG00141_SP0258.jpg,Om Shinde,2022-03-26,19.862098,74.521027,Flora
IMG00142,SP0020,OBS003332,IMG00142_SP0020.jpg,Om Bhosale,2021-08-15,19.849285,74.56253,Wildlife
IMG00143,SP0054,OBS019510,IMG00143_SP0054.jpg,Tejas Joshi,2022-12-15,19.937985,74.516953,Wildlife
IMG00144,SP0111,,IMG00144_SP0111.jpg,Pooja Bhosale,2020-02-14,19.844655,74.576646,Citizen Submission
IMG00145,SP0198,OBS002087,IMG00145_SP0198.jpg,Tejas Jadhav,2021-09-19,19.827389,74.559938,Citizen Submission
IMG00146,SP0080,,IMG00146_SP0080.jpg,Sandeep More,2018-10-06,19.88744,74.538184,Field Survey
IMG00147,SP0087,,IMG00147_SP0087.jpg,Aarti Jadhav,2019-07-12,19.835893,74.425922,Wildlife
IMG00148,SP0203,,IMG00148_SP0203.jpg,Tejas Joshi,2017-08-25,19.864003,74.403693,Citizen Submission
IMG00149,SP0068,,IMG00149_SP0068.jpg,Nikhil Pawar,2019-04-12,19.9105,74.469342,Flora
IMG00150,SP0444,,IMG00150_SP0444.jpg,Vikram Joshi,2018-11-16,19.86116,74.426575,Field Survey
IMG00151,SP0167,,IMG00151_SP0167.jpg,Priyanka Patil,2026-02-13,19.839247,74.482943,Wildlife
IMG00152,SP0120,OBS002967,IMG00152_SP0120.jpg,Nikhil Deshpande,2017-09-03,19.855311,74.533039,Habitat
IMG00153,SP0423,,IMG00153_SP0423.jpg,Amit Kulkarni,2020-03-30,19.832166,74.519188,Field Survey
IMG00154,SP0184,OBS018776,IMG00154_SP0184.jpg,Aarti Jadhav,2020-10-24,19.935531,74.549308,Field Survey
IMG00155,SP0225,OBS016887,IMG00155_SP0225.jpg,Pooja Shinde,2019-03-27,19.923433,74.51733,Flora
IMG00156,SP0024,,IMG00156_SP0024.jpg,Neha Pawar,2021-01-22,19.860244,74.589199,Flora
IMG00157,SP0038,,IMG00157_SP0038.jpg,Sneha Patil,2020-09-21,19.865965,74.439462,Flora
IMG00158,SP0196,,IMG00158_SP0196.jpg,Rahul Pawar,2019-10-04,19.82136,74.523618,Wildlife
IMG00159,SP0201,OBS006621,IMG00159_SP0201.jpg,Swati Bhosale,2026-01-08,19.940607,74.50349,Habitat
IMG00160,SP0242,OBS018794,IMG00160_SP0242.jpg,Swati Shinde,2021-12-02,19.921816,74.485541,Water Body
IMG00161,SP0281,,IMG00161_SP0281.jpg,Nikhil Pawar,2021-11-06,19.86466,74.559924,Habitat
IMG00162,SP0028,OBS014895,IMG00162_SP0028.jpg,Pooja Shinde,2022-12-27,19.889462,74.53388,Water Body
IMG00163,SP0180,,IMG00163_SP0180.jpg,Kirti Kale,2025-04-20,19.910832,74.567937,Water Body
IMG00164,SP0444,OBS000125,IMG00164_SP0444.jpg,Vikram Joshi,2020-11-22,19.863172,74.364719,Wildlife
IMG00165,SP0392,OBS014908,IMG00165_SP0392.jpg,Aarti Jadhav,2017-07-01,19.836835,74.497376,Field Survey
IMG00166,SP0118,OBS008005,IMG00166_SP0118.jpg,Neha Pawar,2024-04-22,19.903985,74.51649,Field Survey
IMG00167,SP0361,OBS012334,IMG00167_SP0361.jpg,Vikram Jadhav,2019-07-29,19.8194,74.585706,Field Survey
IMG00168,SP0129,OBS019373,IMG00168_SP0129.jpg,Sandeep More,2017-12-17,19.921189,74.354401,Water Body
IMG00169,SP0395,OBS015380,IMG00169_SP0395.jpg,Aarti Joshi,2018-09-12,19.945496,74.369512,Citizen Submission
IMG00170,SP0298,OBS010699,IMG00170_SP0298.jpg,Rahul Deshpande,2024-11-27,19.917612,74.35199,Flora
IMG00171,SP0103,OBS012488,IMG00171_SP0103.jpg,Kirti Kulkarni,2024-08-26,19.806954,74.56952,Flora
IMG00172,SP0284,,IMG00172_SP0284.jpg,Neha Deshpande,2019-05-03,19.826934,74.359978,Habitat
IMG00173,SP0230,OBS017673,IMG00173_SP0230.jpg,Tejas Joshi,2026-07-24,19.814885,74.570607,Wildlife
IMG00174,SP0270,OBS019466,IMG00174_SP0270.jpg,Rahul Pawar,2023-07-13,19.909388,74.593398,Flora
IMG00175,SP0121,OBS006881,IMG00175_SP0121.jpg,Amit Kulkarni,2022-08-17,19.865491,74.477503,Water Body
IMG00176,SP0211,OBS005390,IMG00176_SP0211.jpg,Neha Pawar,2017-04-20,19.836047,74.499977,Habitat
IMG00177,SP0224,,IMG00177_SP0224.jpg,Kirti Kulkarni,2019-02-13,19.901217,74.597725,Field Survey
IMG00178,SP0303,OBS006757,IMG00178_SP0303.jpg,Vikram Jadhav,2021-10-09,19.916945,74.591469,Habitat
IMG00179,SP0107,OBS019610,IMG00179_SP0107.jpg,Aarti Jadhav,2019-09-19,19.824495,74.388974,Habitat
IMG00180,SP0351,OBS012099,IMG00180_SP0351.jpg,Neha Pawar,2020-11-21,19.831288,74.552258,Flora
IMG00181,SP0182,OBS017623,IMG00181_SP0182.jpg,Rajesh Kale,2021-06-25,19.854735,74.386652,Water Body
IMG00182,SP0013,OBS003777,IMG00182_SP0013.jpg,Priyanka More,2021-12-08,19.832132,74.362312,Wildlife
IMG00183,SP0107,OBS006264,IMG00183_SP0107.jpg,Tejas Joshi,2017-08-21,19.948707,74.590281,Citizen Submission
IMG00184,SP0362,OBS017739,IMG00184_SP0362.jpg,Nikhil Pawar,2022-06-01,19.815285,74.557355,Habitat
IMG00185,SP0269,OBS017990,IMG00185_SP0269.jpg,Vikram Joshi,2022-05-03,19.819753,74.372373,Water Body
IMG00186,SP0159,OBS013298,IMG00186_SP0159.jpg,Kirti Kulkarni,2021-10-29,19.843312,74.588701,Water Body
IMG00187,SP0384,OBS006975,IMG00187_SP0384.jpg,Sneha Patil,2023-07-04,19.91112,74.514741,Field Survey
IMG00188,SP0278,,IMG00188_SP0278.jpg,Swati Shinde,2022-02-18,19.873442,74.3757,Habitat
IMG00189,SP0194,,IMG00189_SP0194.jpg,Rahul Deshpande,2026-08-01,19.835342,74.413032,Citizen Submission
IMG00190,SP0334,OBS008810,IMG00190_SP0334.jpg,Om Shinde,2021-04-09,19.931474,74.492599,Wildlife
IMG00191,SP0216,OBS004382,IMG00191_SP0216.jpg,Aarti Joshi,2017-03-27,19.932483,74.361003,Field Survey
IMG00192,SP0390,OBS002766,IMG00192_SP0390.jpg,Sneha More,2018-09-01,19.905715,74.438874,Field Survey
IMG00193,SP0313,OBS001303,IMG00193_SP0313.jpg,Swati Bhosale,2021-08-18,19.864561,74.528253,Field Survey
IMG00194,SP0083,OBS014872,IMG00194_SP0083.jpg,Rahul Deshpande,2018-12-08,19.837923,74.503319,Water Body
IMG00195,SP0016,OBS013120,IMG00195_SP0016.jpg,Sandeep More,2017-05-07,19.889716,74.350921,Citizen Submission
IMG00196,SP0197,OBS010777,IMG00196_SP0197.jpg,Amit Kulkarni,2017-08-05,19.91961,74.561807,Water Body
IMG00197,SP0363,OBS000486,IMG00197_SP0363.jpg,Aarti Joshi,2026-06-29,19.84473,74.484165,Water Body
IMG00198,SP0012,,IMG00198_SP0012.jpg,Sandeep More,2017-07-27,19.930655,74.370265,Field Survey
IMG00199,SP0359,OBS005310,IMG00199_SP0359.jpg,Amit Kale,2022-04-01,19.929533,74.597943,Citizen Submission
IMG00200,SP0098,,IMG00200_SP0098.jpg,Rahul Deshpande,2023-03-17,19.855982,74.416663,Habitat
IMG00201,SP0438,OBS007030,IMG00201_SP0438.jpg,Aarti Jadhav,2025-06-04,19.916086,74.523236,Wildlife
IMG00202,SP0237,OBS010532,IMG00202_SP0237.jpg,Nikhil Deshpande,2020-07-29,19.811605,74.51065,Wildlife
IMG00203,SP0307,OBS010439,IMG00203_SP0307.jpg,Rajesh Kulkarni,2025-03-08,19.919713,74.537823,Citizen Submission
IMG00204,SP0250,OBS005319,IMG00204_SP0250.jpg,Vikram Jadhav,2019-09-07,19.815728,74.458919,Habitat
IMG00205,SP0276,OBS013465,IMG00205_SP0276.jpg,Vikram Jadhav,2022-08-25,19.944491,74.420041,Flora
IMG00206,SP0164,OBS005199,IMG00206_SP0164.jpg,Om Shinde,2016-08-23,19.936351,74.536732,Water Body
IMG00207,SP0380,OBS009040,IMG00207_SP0380.jpg,Rajesh Kulkarni,2023-10-20,19.812333,74.454471,Habitat
IMG00208,SP0407,OBS015022,IMG00208_SP0407.jpg,Rajesh Kale,2021-03-09,19.89005,74.411714,Flora
IMG00209,SP0215,OBS004678,IMG00209_SP0215.jpg,Aarti Jadhav,2022-04-22,19.863697,74.412197,Flora
IMG00210,SP0444,OBS019251,IMG00210_SP0444.jpg,Nikhil Pawar,2019-12-05,19.819525,74.544435,Citizen Submission
IMG00211,SP0365,,IMG00211_SP0365.jpg,Sneha Patil,2023-11-03,19.935285,74.486463,Water Body
IMG00212,SP0115,,IMG00212_SP0115.jpg,Kirti Kulkarni,2016-08-04,19.946929,74.584416,Field Survey
IMG00213,SP0068,OBS019335,IMG00213_SP0068.jpg,Amit Kulkarni,2020-07-21,19.93516,74.492864,Flora
IMG00214,SP0284,OBS011813,IMG00214_SP0284.jpg,Swati Shinde,2022-05-22,19.809904,74.491083,Citizen Submission
IMG00215,SP0406,OBS007065,IMG00215_SP0406.jpg,Aarti Jadhav,2024-06-13,19.871701,74.390646,Habitat
IMG00216,SP0125,OBS003525,IMG00216_SP0125.jpg,Pooja Bhosale,2024-01-18,19.910323,74.494987,Flora
IMG00217,SP0178,,IMG00217_SP0178.jpg,Nikhil Pawar,2017-03-15,19.830715,74.50624,Water Body
IMG00218,SP0321,,IMG00218_SP0321.jpg,Sneha More,2023-09-04,19.946723,74.532986,Water Body
IMG00219,SP0249,OBS009652,IMG00219_SP0249.jpg,Amit Kale,2021-08-05,19.894008,74.592049,Habitat
IMG00220,SP0099,,IMG00220_SP0099.jpg,Om Shinde,2020-07-13,19.849472,74.466554,Citizen Submission
IMG00221,SP0335,OBS012842,IMG00221_SP0335.jpg,Nikhil Pawar,2024-12-12,19.89761,74.496577,Habitat
IMG00222,SP0417,,IMG00222_SP0417.jpg,Kirti Kulkarni,2024-08-17,19.844681,74.384738,Habitat
IMG00223,SP0232,OBS002791,IMG00223_SP0232.jpg,Neha Pawar,2020-12-31,19.807031,74.402781,Flora
