report_id,user_id,species_id,latitude,longitude,report_date,image_filename,remarks,verification_status,admin_comments
CR00076,USR0082,SP0204,19.828474,74.353172,2017-06-20,CR00076_SP0204.jpg,Spotted near temple pond,Verified,
CR00077,USR0399,SP0100,19.850777,74.426929,2025-03-20,CR00077_SP0100.jpg,Spotted during morning walk,Verified,Duplicate of earlier report.
CR00078,USR0363,SP0406,19.943116,74.397007,2023-06-07,CR00078_SP0406.jpg,Found near farm,Pending,
CR00079,USR0037,SP0413,19.818657,74.399579,2019-09-28,CR00079_SP0413.jpg,Spotted near temple pond,Verified,Duplicate of earlier report.
CR00080,USR0411,SP0078,19.86141,74.400537,2019-07-11,CR00080_SP0078.jpg,Spotted during morning walk,Verified,Cross-checked with expert - confirmed.
CR00081,USR0281,SP0082,19.930854,74.375248,2025-03-02,CR00081_SP0082.jpg,Roadkill reported,Verified,
CR00082,USR0385,SP0093,19.806487,74.482156,2020-05-19,CR00082_SP0093.jpg,Nesting site found,Pending,Cross-checked with expert - confirmed.
CR00083,USR0163,SP0029,19.827501,74.351743,2018-03-24,CR00083_SP0029.jpg,Noticed unusual coloration,Pending,"Looks accurate, approved."
CR00084,USR0210,SP0312,19.800229,74.491057,2018-04-06,CR00084_SP0312.jpg,Roadkill reported,Verified,Duplicate of earlier report.
CR00085,USR0283,SP0048,19.871373,74.420343,2017-05-09,CR00085_SP0048.jpg,Seen during college nature trail,Pending,Needs a clearer photo.
CR00086,USR0011,SP0089,19.937143,74.377848,2025-03-22,CR00086_SP0089.jpg,Noticed unusual coloration,Pending,Needs a clearer photo.
CR00087,USR0424,SP0281,19.875518,74.515649,2025-02-05,CR00087_SP0281.jpg,Multiple individuals seen,Verified,Cross-checked with expert - confirmed.
CR00088,USR0477,SP0287,19.923134,74.380045,2017-05-28,CR00088_SP0287.jpg,Reported by local farmer,Pending,Duplicate of earlier report.
CR00089,USR0377,SP0422,19.937252,74.489066,2025-01-25,CR00089_SP0422.jpg,Roadkill reported,Verified,Needs a clearer photo.
CR00090,USR0229,SP0277,19.858672,74.539247,2025-05-18,CR00090_SP0277.jpg,Found near farm,Verified,Duplicate of earlier report.
CR00091,USR0058,SP0071,19.939962,74.434224,2016-10-18,CR00091_SP0071.jpg,Spotted near temple pond,Pending,Duplicate of earlier report.
CR00092,USR0058,SP0147,19.906221,74.390137,2019-08-30,CR00092_SP0147.jpg,Noticed unusual coloration,Verified,
CR00093,USR0398,SP0097,19.897134,74.577011,2020-02-09,CR00093_SP0097.jpg,Reported by local farmer,Rejected,Duplicate of earlier report.
CR00094,USR0363,SP0363,19.825323,74.493672,2020-02-29,CR00094_SP0363.jpg,Noticed unusual coloration,Verified,"Looks accurate, approved."
CR00095,USR0349,SP0198,19.902085,74.429684,2026-04-27,CR00095_SP0198.jpg,Reported by local farmer,Verified,
CR00096,USR0158,SP0132,19.840554,74.447033,2017-02-27,CR00096_SP0132.jpg,Spotted near temple pond,Verified,
CR00097,USR0418,SP0204,19.910856,74.544205,2018-06-15,CR00097_SP0204.jpg,Reported by local farmer,Verified,"Looks accurate, approved."
CR00098,USR0213,SP0126,19.928905,74.365492,2023-12-01,CR00098_SP0126.jpg,Multiple individuals seen,Pending,
CR00099,USR0421,SP0225,19.915685,74.45811,2021-03-06,CR00099_SP0225.jpg,Spotted near temple pond,Verified,Duplicate of earlier report.
CR00100,USR0330,SP0335,19.877094,74.457715,2017-10-23,CR00100_SP0335.jpg,Multiple individuals seen,Pending,Needs a clearer photo.
CR00101,USR0070,SP0317,19.889127,74.358831,2016-12-26,CR00101_SP0317.jpg,Spotted near temple pond,Pending,Species ID corrected by reviewer.
CR00102,USR0447,SP0348,19.860506,74.374287,2023-09-17,CR00102_SP0348.jpg,Seen during college nature trail,Verified,Duplicate of earlier report.
CR00103,USR0424,SP0054,19.891845,74.5874,2022-12-07,CR00103_SP0054.jpg,Reported by local farmer,Verified,Duplicate of earlier report.
CR00104,USR0246,SP0060,19.864508,74.522789,2026-04-02,CR00104_SP0060.jpg,Multiple individuals seen,Rejected,
CR00105,USR0215,SP0028,19.898959,74.376863,2025-10-27,CR00105_SP0028.jpg,Multiple individuals seen,Pending,
CR00106,USR0211,SP0288,19.892298,74.394569,2019-12-31,CR00106_SP0288.jpg,Multiple individuals seen,Pending,Duplicate of earlier report.
CR00107,USR0071,SP0014,19.82789,74.541097,2026-06-26,CR00107_SP0014.jpg,Seen during college nature trail,Pending,
CR00108,USR0317,SP0404,19.920021,74.556088,2024-05-01,CR00108_SP0404.jpg,Noticed unusual coloration,Verified,Cross-checked with expert - confirmed.
CR00109,USR0236,SP0256,19.802175,74.367026,2022-08-11,CR00109_SP0256.jpg,Seen during college nature trail,Pending,Needs a clearer photo.
CR00110,USR0383,SP0424,19.919655,74.55319,2017-07-02,CR00110_SP0424.jpg,Spotted near temple pond,Verified,
CR00111,USR0173,SP0203,19.936266,74.352714,2022-09-21,CR00111_SP0203.jpg,Found near farm,Verified,
CR00112,USR0434,SP0460,19.917945,74.39478,2017-01-07,CR00112_SP0460.jpg,Spotted during morning walk,Verified,
CR00113,USR0313,SP0063,19.80192,74.470675,2024-01-22,CR00113_SP0063.jpg,Seen at riverbank,Verified,"Looks accurate, approved."
CR00114,USR0319,SP0024,19.917662,74.439252,2024-08-27,CR00114_SP0024.jpg,Seen during college nature trail,Pending,
CR00115,USR0135,SP0020,19.818612,74.368779,2022-12-19,CR00115_SP0020.jpg,Noticed unusual coloration,Pending,Needs a clearer photo.
CR00116,USR0393,SP0358,19.838955,74.548689,2026-08-01,CR00116_SP0358.jpg,Seen during college nature trail,Pending,
CR00117,USR0177,SP0349,19.82898,74.461847,2019-11-09,CR00117_SP0349.jpg,Reported by local farmer,Verified,
CR00118,USR0045,SP0130,19.807139,74.428061,2021-03-23,CR00118_SP0130.jpg,Nesting site found,Pending,Duplicate of earlier report.
CR00119,USR0452,SP0369,19.853576,74.382362,2016-10-29,CR00119_SP0369.jpg,Multiple individuals seen,Verified,Species ID corrected by reviewer.
CR00120,USR0353,SP0167,19.826187,74.39002,2024-01-12,CR00120_SP0167.jpg,Reported by local farmer,Verified,Species ID corrected by reviewer.
CR00121,USR0331,SP0316,19.848411,74.380747,2025-10-20,CR00121_SP0316.jpg,Spotted near temple pond,Rejected,Species ID corrected by reviewer.
CR00122,USR0023,SP0416,19.928431,74.550292,2020-01-18,CR00122_SP0416.jpg,Spotted near temple pond,Verified,Needs a clearer photo.
CR00123,USR0406,SP0021,19.897614,74.35907,2025-01-18,CR00123_SP0021.jpg,Spotted during morning walk,Verified,
CR00124,USR0135,SP0109,19.890434,74.565384,2016-10-27,CR00124_SP0109.jpg,Noticed unusual coloration,Verified,Needs a clearer photo.
CR00125,USR0325,SP0265,19.932046,74.408123,2025-01-10,CR00125_SP0265.jpg,Multiple individuals seen,Verified,"Looks accurate, approved."
CR00126,USR0420,SP0246,19.806271,74.351939,2026-08-01,CR00126_SP0246.jpg,Reported by local farmer,Pending,
CR00127,USR0384,SP0002,19.852658,74.506901,2017-02-05,CR00127_SP0002.jpg,Found near farm,Verified,Needs a clearer photo.
CR00128,USR0384,SP0261,19.8825,74.408407,2023-12-10,CR00128_SP0261.jpg,Reported by local farmer,Pending,"Looks accurate, approved."
CR00129,USR0202,SP0265,19.907886,74.528727,2026-05-19,CR00129_SP0265.jpg,Nesting site found,Verified,
CR00130,USR0393,SP0089,19.894538,74.491164,2025-08-31,CR00130_SP0089.jpg,Reported by local farmer,Pending,Duplicate of earlier report.
CR00131,USR0196,SP0323,19.829112,74.540473,2018-01-06,CR00131_SP0323.jpg,Roadkill reported,Verified,Needs a clearer photo.
CR00132,USR0422,SP0067,19.851921,74.455614,2024-12-23,CR00132_SP0067.jpg,Noticed unusual coloration,Verified,
CR00133,USR0188,SP0149,19.834362,74.59117,2016-12-19,CR00133_SP0149.jpg,Nesting site found,Verified,"Looks accurate, approved."
CR00134,USR0029,SP0205,19.860691,74.514514,2018-10-31,CR00134_SP0205.jpg,Seen at riverbank,Verified,Species ID corrected by reviewer.
CR00135,USR0031,SP0389,19.849857,74.473814,2025-11-06,CR00135_SP0389.jpg,Seen at riverbank,Verified,
CR00136,USR0161,SP0213,19.916133,74.371221,2026-03-21,CR00136_SP0213.jpg,Seen during college nature trail,Pending,Cross-checked with expert - confirmed.
CR00137,USR0178,SP0233,19.839882,74.437609,2017-03-08,CR00137_SP0233.jpg,Seen at riverbank,Verified,Species ID corrected by reviewer.
CR00138,USR0155,SP0112,19.884288,74.543166,2019-03-13,CR00138_SP0112.jpg,Roadkill reported,Verified,Needs a clearer photo.
CR00139,USR0039,SP0034,19.842569,74.473282,2018-07-22,CR00139_SP0034.jpg,Noticed unusual coloration,Verified,Cross-checked with expert - confirmed.
CR00140,USR0059,SP0282,19.92213,74.36161,2023-03-09,CR00140_SP0282.jpg,Spotted near temple pond,Pending,
CR00141,USR0418,SP0062,19.871218,74.361897,2023-02-25,CR00141_SP0062.jpg,Roadkill reported,Pending,Cross-checked with expert - confirmed.
CR00142,USR0426,SP0097,19.843517,74.477216,2026-02-03,CR00142_SP0097.jpg,Multiple individuals seen,Verified,Species ID corrected by reviewer.
CR00143,USR0001,SP0155,19.809299,74.425517,2022-10-14,CR00143_SP0155.jpg,Seen during college nature trail,Pending,Needs a clearer photo.
CR00144,USR0118,SP0030,19.817974,74.352352,2025-04-30,CR00144_SP0030.jpg,Noticed unusual coloration,Pending,Species ID corrected by reviewer.
CR00145,USR0129,SP0157,19.803832,74.588531,2016-10-01,CR00145_SP0157.jpg,Spotted near temple pond,Pending,Duplicate of earlier report.
CR00146,USR0091,SP0285,19.824005,74.540519,2025-12-15,CR00146_SP0285.jpg,Spotted during morning walk,Verified,Needs a clearer photo.
CR00147,USR0098,SP0193,19.947217,74.496097,2019-01-24,CR00147_SP0193.jpg,Seen at riverbank,Verified,Cross-checked with expert - confirmed.
CR00148,USR0219,SP0450,19.837448,74.452776,2024-04-01,CR00148_SP0450.jpg,Nesting site found,Pending,
CR00149,USR0254,SP0339,19.807232,74.519301,2019-09-01,CR00149_SP0339.jpg,Multiple individuals seen,Pending,"Looks accurate, approved."
CR00150,USR0497,SP0068,19.862571,74.485046,2022-07-18,CR00150_SP0068.jpg,Seen at riverbank,Verified,Cross-checked with expert - confirmed.
CR00151,USR0249,SP0419,19.900774,74.554792,2023-11-07,CR00151_SP0419.jpg,Multiple individuals seen,Pending,Cross-checked with expert - confirmed.
CR00152,USR0162,SP0203,19.85926,74.494886,2020-11-13,CR00152_SP0203.jpg,Spotted during morning walk,Rejected,
CR00153,USR0485,SP0297,19.893735,74.496166,2020-03-02,CR00153_SP0297.jpg,Spotted near temple pond,Pending,
CR00154,USR0493,SP0097,19.948983,74.378344,2019-12-27,CR00154_SP0097.jpg,Multiple individuals seen,Verified,
CR00155,USR0490,SP0048,19.907861,74.555051,2018-02-17,CR00155_SP0048.jpg,Seen during college nature trail,Verified,
CR00156,USR0217,SP0097,19.897149,74.534955,2024-02-19,CR00156_SP0097.jpg,Seen during college nature trail,Rejected,Duplicate of earlier report.
CR00157,USR0330,SP0214,19.933694,74.569634,2024-08-21,CR00157_SP0214.jpg,Multiple individuals seen,Pending,Species ID corrected by reviewer.
CR00158,USR0304,SP0204,19.936321,74.438449,2023-03-06,CR00158_SP0204.jpg,Nesting site found,Pending,Duplicate of earlier report.
CR00159,USR0238,SP0124,19.890133,74.469911,2017-08-03,CR00159_SP0124.jpg,Seen at riverbank,Verified,Cross-checked with expert - confirmed.
CR00160,USR0370,SP0031,19.880926,74.354118,2019-11-07,CR00160_SP0031.jpg,Reported by local farmer,Verified,Cross-checked with expert - confirmed.
CR00161,USR0456,SP0090,19.895264,74.492571,2020-12-04,CR00161_SP0090.jpg,Seen during college nature trail,Pending,
CR00162,USR0200,SP0076,19.81024,74.526281,2021-07-31,CR00162_SP0076.jpg,Nesting site found,Pending,Needs a clearer photo.
CR00163,USR0114,SP0196,19.929453,74.35285,2017-10-10,CR00163_SP0196.jpg,Spotted near temple pond,Pending,Needs a clearer photo.
CR00164,USR0317,SP0326,19.801007,74.428183,2017-06-29,CR00164_SP0326.jpg,Spotted during morning walk,Pending,Cross-checked with expert - confirmed.
CR00165,USR0477,SP0304,19.879353,74.456576,2020-05-30,CR00165_SP0304.jpg,Reported by local farmer,Verified,Duplicate of earlier report.
CR00166,USR0260,SP0302,19.84448,74.593203,2017-09-01,CR00166_SP0302.jpg,Seen during college nature trail,Verified,
CR00167,USR0454,SP0158,19.870657,74.366795,2024-04-11,CR00167_SP0158.jpg,Roadkill reported,Verified,
CR00168,USR0497,SP0176,19.826079,74.495967,2026-06-02,CR00168_SP0176.jpg,Found near farm,Pending,Needs a clearer photo.
CR00169,USR0123,SP0337,19.941977,74.452766,2019-03-19,CR00169_SP0337.jpg,Spotted during morning walk,Verified,Duplicate of earlier report.
CR00170,USR0427,SP0352,19.930424,74.598823,2021-05-29,CR00170_SP0352.jpg,Multiple individuals seen,Verified,Species ID corrected by reviewer.
CR00171,USR0097,SP0312,19.887596,74.380048,2020-10-09,CR00171_SP0312.jpg,Spotted during morning walk,Verified,Duplicate of earlier report.
CR00172,USR0354,SP0099,19.805222,74.362086,2020-11-27,CR00172_SP0099.jpg,Reported by local farmer,Verified,
CR00173,USR0189,SP0187,19.936408,74.384727,2025-12-03,CR00173_SP0187.jpg,Multiple individuals seen,Verified,Cross-checked with expert - confirmed.
CR00174,USR0062,SP0129,19.849848,74.437426,2024-04-04,CR00174_SP0129.jpg,Multiple individuals seen,Pending,
CR00175,USR0317,SP0408,19.909664,74.402625,2024-01-30,CR00175_SP0408.jpg,Multiple individuals seen,Verified,Species ID corrected by reviewer.
CR00176,USR0312,SP0208,19.816094,74.426591,2017-05-11,CR00176_SP0208.jpg,Seen during college nature trail,Pending,Duplicate of earlier report.
CR00177,USR0331,SP0271,19.809638,74.512402,2025-02-25,CR00177_SP0271.jpg,Noticed unusual coloration,Verified,Duplicate of earlier report.
CR00178,USR0389,SP0051,19.818712,74.452192,2024-11-01,CR00178_SP0051.jpg,Spotted during morning walk,Pending,Species ID corrected by reviewer.
CR00179,USR0423,SP0073,19.89398,74.525171,2024-06-10,CR00179_SP0073.jpg,Seen during college nature trail,Pending,Cross-checked with expert - confirmed.
CR00180,USR0325,SP0181,19.914943,74.524839,2018-06-08,CR00180_SP0181.jpg,Noticed unusual coloration,Verified,Species ID corrected by reviewer.
CR00181,USR0166,SP0188,19.865171,74.546546,2018-05-20,CR00181_SP0188.jpg,Seen during college nature trail,Verified,Needs a clearer photo.
CR00182,USR0087,SP0451,19.941742,74.357909,2020-06-10,CR00182_SP0451.jpg,Found near farm,Verified,Species ID corrected by reviewer.
CR00183,USR0009,SP0179,19.825715,74.504723,2022-05-18,CR00183_SP0179.jpg,Seen at riverbank,Verified,"Looks accurate, approved."
CR00184,USR0445,SP0300,19.811582,74.356442,2023-09-08,CR00184_SP0300.jpg,Spotted during morning walk,Verified,Cross-checked with expert - confirmed.
CR00185,USR0129,SP0426,19.835594,74.40061,2017-05-02,CR00185_SP0426.jpg,Spotted during morning walk,Rejected,"Looks accurate, approved."
CR00186,USR0121,SP0181,19.890989,74.545623,2022-10-04,CR00186_SP0181.jpg,Spotted near temple pond,Verified,"Looks accurate, approved."
CR00187,USR0115,SP0029,19.840421,74.445984,2023-12-14,CR00187_SP0029.jpg,Spotted during morning walk,Rejected,
CR00188,USR0422,SP0393,19.927403,74.405815,2024-02-28,CR00188_SP0393.jpg,Seen at riverbank,Pending,"Looks accurate, approved."
CR00189,USR0231,SP0411,19.830024,74.543673,2022-11-05,CR00189_SP0411.jpg,Reported by local farmer,Verified,Species ID corrected by reviewer.
CR00190,USR0410,SP0123,19.802498,74.383471,2017-05-13,CR00190_SP0123.jpg,Spotted near temple pond,Verified,Species ID corrected by reviewer.
CR00191,USR0234,SP0239,19.837628,74.506,2022-01-10,CR00191_SP0239.jpg,Seen during college nature trail,Verified,Duplicate of earlier report.
CR00192,USR0157,SP0315,19.877037,74.500412,2023-08-23,CR00192_SP0315.jpg,Reported by local farmer,Verified,Species ID corrected by reviewer.
CR00193,USR0397,SP0032,19.91478,74.447466,2022-11-01,CR00193_SP0032.jpg,Noticed unusual coloration,Pending,Duplicate of earlier report.
CR00194,USR0137,SP0357,19.914032,74.417789,2018-05-19,CR00194_SP0357.jpg,Reported by local farmer,Verified,Species ID corrected by reviewer.
CR00195,USR0039,SP0384,19.843116,74.413968,2018-08-19,CR00195_SP0384.jpg,Roadkill reported,Rejected,"Looks accurate, approved."
CR00196,USR0102,SP0015,19.946778,74.590251,2023-05-03,CR00196_SP0015.jpg,Found near farm,Rejected,
CR00197,USR0407,SP0290,19.820647,74.462746,2023-01-19,CR00197_SP0290.jpg,Multiple individuals seen,Rejected,
CR00198,USR0178,SP0320,19.809829,74.382332,2020-08-26,CR00198_SP0320.jpg,Seen during college nature trail,Verified,Needs a clearer photo.
CR00199,USR0123,SP0363,19.917364,74.464664,2017-02-25,CR00199_SP0363.jpg,Seen at riverbank,Pending,Species ID corrected by reviewer.
CR00200,USR0115,SP0170,19.94826,74.53595,2018-11-17,CR00200_SP0170.jpg,Spotted near temple pond,Verified,
CR00201,USR0431,SP0123,19.945505,74.36646,2023-11-30,CR00201_SP0123.jpg,Multiple individuals seen,Verified,
CR00202,USR0471,SP0361,19.910247,74.532036,2026-02-08,CR00202_SP0361.jpg,Nesting site found,Verified,Needs a clearer photo.
CR00203,USR0124,SP0109,19.943914,74.358301,2020-09-13,CR00203_SP0109.jpg,Reported by local farmer,Pending,Cross-checked with expert - confirmed.
