cell_id,latitude,longitude,land_cover_type,vegetation_density,forest_percentage,water_percentage,urban_percentage
LC00047,19.868914,74.48401,Agricultural Land,0.364,17.7,0.5,2.3
LC00048,19.91921,74.416503,Water Body,0.51,8.4,74.7,6.6
LC00049,19.935709,74.563205,Grassland,0.754,5.5,7.8,3.7
LC00050,19.802634,74.549751,Agricultural Land,0.932,14.7,6.0,7.0
LC00051,19.800485,74.550343,Forest/Grove,0.591,51.0,4.3,11.8
LC00052,19.870821,74.566469,Forest/Grove,0.307,58.2,0.6,6.2
LC00053,19.846495,74.442041,Urban/Built-up,0.482,19.9,4.4,50.7
LC00054,19.936397,74.53553,Barren/Fallow,0.8,3.7,0.7,4.4
LC00055,19.899424,74.47692,Agricultural Land,0.332,7.4,3.2,4.1
LC00056,19.837806,74.397723,Agricultural Land,0.846,17.7,7.9,9.0
LC00057,19.905502,74.478566,Barren/Fallow,0.298,9.9,7.3,12.7
LC00058,19.861164,74.510598,Grassland,0.116,8.4,3.1,5.1
LC00059,19.804735,74.54098,Forest/Grove,0.478,76.2,3.6,3.9
LC00060,19.919868,74.489516,Urban/Built-up,0.502,2.4,7.8,81.2
LC00061,19.941439,74.517128,Water Body,0.445,10.7,96.9,13.1
LC00062,19.820844,74.406017,Barren/Fallow,0.874,8.0,5.9,8.0
LC00063,19.949213,74.468856,Wetland,0.553,13.5,47.1,3.0
LC00064,19.804589,74.541902,Agricultural Land,0.255,15.6,5.7,1.5
LC00065,19.816463,74.386042,Agricultural Land,0.314,15.6,1.2,3.1
LC00066,19.947315,74.381484,Agricultural Land,0.529,3.2,6.4,5.2
LC00067,19.903676,74.424275,Agricultural Land,0.488,12.7,6.9,8.3
LC00068,19.833624,74.590337,Barren/Fallow,0.552,19.0,7.0,1.3
LC00069,19.921795,74.416689,Agricultural Land,0.122,15.2,7.9,4.2
LC00070,19.820293,74.455871,Agricultural Land,0.414,4.3,7.9,6.3
LC00071,19.88975,74.374043,Agricultural Land,0.792,12.2,7.3,5.4
LC00072,19.806908,74.534759,Agricultural Land,0.371,8.0,7.1,9.0
LC00073,19.888366,74.381341,Forest/Grove,0.147,64.3,2.2,3.1
LC00074,19.918891,74.360089,Urban/Built-up,0.478,19.7,5.9,80.9
LC00075,19.911438,74.471894,Agricultural Land,0.479,15.4,7.9,11.2
LC00076,19.820648,74.522027,Agricultural Land,0.534,11.8,2.7,0.3
LC00077,19.801015,74.53495,Grassland,0.376,11.1,3.4,3.6
LC00078,19.835484,74.494753,Barren/Fallow,0.514,16.9,1.1,8.0
LC00079,19.892483,74.420303,Grassland,0.793,8.9,5.0,8.9
LC00080,19.913588,74.52883,Agricultural Land,0.561,17.7,4.4,4.9
LC00081,19.937043,74.593652,Barren/Fallow,0.423,14.2,0.9,11.4
LC00082,19.884361,74.352535,Grassland,0.179,4.6,5.3,11.9
LC00083,19.876456,74.485921,Water Body,0.498,0.3,75.1,10.6
LC00084,19.914724,74.527063,Grassland,0.313,9.9,1.7,5.9
LC00085,19.815245,74.550122,Wetland,0.473,2.4,36.2,6.7
LC00086,19.84855,74.599065,Water Body,0.404,8.8,71.7,6.0
LC00087,19.924508,74.591613,Agricultural Land,0.739,5.4,7.0,10.4
LC00088,19.816669,74.360489,Agricultural Land,0.838,19.4,4.6,3.4
LC00089,19.890607,74.41432,Wetland,0.603,3.0,44.1,11.6
LC00090,19.812554,74.499086,Agricultural Land,0.73,5.9,5.0,9.5
LC00091,19.886824,74.461843,Agricultural Land,0.601,0.2,4.1,13.5
LC00092,19.934173,74.431622,Forest/Grove,0.334,40.6,1.5,1.2
LC00093,19.939447,74.496155,Grassland,0.626,10.5,6.8,11.7
LC00094,19.820954,74.566682,Agricultural Land,0.724,12.1,3.2,0.6
LC00095,19.808263,74.376283,Agricultural Land,0.713,13.1,0.7,11.2
LC00096,19.834391,74.46268,Agricultural Land,0.216,5.0,6.0,12.5
LC00097,19.880059,74.388745,Agricultural Land,0.35,4.9,5.2,4.8
LC00098,19.862349,74.47632,Barren/Fallow,0.223,8.1,6.4,10.0
LC00099,19.89867,74.367921,Barren/Fallow,0.625,5.9,2.3,5.6
LC00100,19.863555,74.485145,Water Body,0.42,14.6,84.0,13.6
LC00101,19.80851,74.429083,Agricultural Land,0.356,10.3,7.1,13.7
LC00102,19.911897,74.592075,Grassland,0.709,7.8,5.9,2.2
LC00103,19.942274,74.375228,Agricultural Land,0.685,17.8,5.6,2.5
LC00104,19.844713,74.364255,Grassland,0.418,2.1,8.0,10.1
LC00105,19.834865,74.465134,Wetland,0.176,9.0,57.6,6.5
LC00106,19.823512,74.579177,Forest/Grove,0.464,57.3,3.7,10.4
LC00107,19.866363,74.455726,Agricultural Land,0.623,14.1,2.0,11.5
LC00108,19.801326,74.514962,Wetland,0.478,3.4,58.6,10.6
LC00109,19.864898,74.397377,Agricultural Land,0.374,5.0,7.2,10.8
LC00110,19.935452,74.363341,Agricultural Land,0.499,2.3,5.0,5.8
LC00111,19.922924,74.417591,Forest/Grove,0.69,78.2,7.8,11.0
LC00112,19.832589,74.494215,Wetland,0.357,17.1,30.5,4.9
LC00113,19.860563,74.577558,Grassland,0.272,1.4,0.8,11.1
LC00114,19.938483,74.564192,Grassland,0.277,13.8,7.3,11.2
LC00115,19.886894,74.583347,Forest/Grove,0.66,66.3,2.4,5.7
LC00116,19.828345,74.543837,Agricultural Land,0.564,17.2,1.4,1.8
LC00117,19.863159,74.353831,Urban/Built-up,0.611,20.0,3.8,67.9
LC00118,19.811674,74.598309,Barren/Fallow,0.445,16.2,8.0,4.5
LC00119,19.903138,74.486582,Water Body,0.405,3.6,60.6,0.4
LC00120,19.820043,74.469396,Grassland,0.61,19.9,1.6,2.6
LC00121,19.868415,74.409592,Agricultural Land,0.46,1.5,0.7,3.9
LC00122,19.877797,74.421774,Agricultural Land,0.165,16.9,3.1,13.3
LC00123,19.878679,74.384816,Urban/Built-up,0.301,14.5,6.9,81.5
LC00124,19.908811,74.554792,Agricultural Land,0.348,3.9,7.0,14.7
LC00125,19.861837,74.591933,Barren/Fallow,0.645,4.6,0.4,3.0
LC00126,19.807574,74.355017,Agricultural Land,0.69,15.2,3.3,9.8
LC00127,19.929107,74.385524,Agricultural Land,0.583,5.5,0.5,11.3
LC00128,19.938553,74.413893,Agricultural Land,0.401,6.0,7.9,10.3
LC00129,19.811796,74.597387,Agricultural Land,0.093,0.2,7.1,5.6
LC00130,19.852511,74.559034,Agricultural Land,0.05,4.5,1.7,13.1
LC00131,19.866318,74.507441,Urban/Built-up,0.265,10.9,7.1,96.7
LC00132,19.832261,74.398383,Urban/Built-up,0.591,17.9,7.2,87.3
LC00133,19.943379,74.540869,Forest/Grove,0.374,83.5,0.4,13.9
LC00134,19.945421,74.395822,Agricultural Land,0.092,2.4,7.3,3.4
LC00135,19.891604,74.399912,Agricultural Land,0.292,14.9,1.0,4.0
LC00136,19.944622,74.445375,Agricultural Land,0.899,5.5,4.8,2.8
LC00137,19.925243,74.57228,Grassland,0.419,18.9,7.2,9.0
LC00138,19.848613,74.495109,Agricultural Land,0.582,10.1,0.5,5.9
LC00139,19.945262,74.532115,Agricultural Land,0.514,15.2,1.3,14.5
LC00140,19.837153,74.545124,Barren/Fallow,0.699,19.8,4.4,1.9
LC00141,19.8813,74.35035,Wetland,0.446,11.5,41.4,1.5
LC00142,19.897438,74.445991,Forest/Grove,0.571,72.9,1.2,12.1
LC00143,19.804902,74.4886,Urban/Built-up,0.426,3.5,0.3,83.2
LC00144,19.873271,74.507991,Water Body,0.54,8.1,81.6,8.1
LC00145,19.93158,74.554233,Agricultural Land,0.856,13.2,5.1,2.8
LC00146,19.877306,74.572677,Grassland,0.571,6.0,5.2,7.8
LC00147,19.891622,74.578148,Barren/Fallow,0.814,8.0,0.5,1.0
LC00148,19.942963,74.507748,Forest/Grove,0.721,87.4,7.0,9.2
LC00149,19.869026,74.512964,Agricultural Land,0.528,7.8,4.1,12.8
LC00150,19.902093,74.465463,Grassland,0.322,19.4,6.0,6.7
LC00151,19.854959,74.505917,Urban/Built-up,0.534,5.4,4.2,68.7
LC00152,19.838506,74.372422,Urban/Built-up,0.746,15.1,1.3,54.7
LC00153,19.931991,74.391971,Forest/Grove,0.108,54.5,4.6,10.8
LC00154,19.880416,74.486418,Forest/Grove,0.784,51.1,1.7,6.2
LC00155,19.930189,74.447641,Grassland,0.928,16.4,5.1,10.6
LC00156,19.911988,74.522662,Barren/Fallow,0.728,2.5,7.8,14.1
LC00157,19.911625,74.506249,Agricultural Land,0.321,3.6,4.6,8.5
LC00158,19.804554,74.482576,Agricultural Land,0.212,8.2,5.8,7.0
LC00159,19.868329,74.590677,Forest/Grove,0.63,63.8,6.6,4.5
LC00160,19.832025,74.513365,Urban/Built-up,0.265,5.2,1.8,93.9
LC00161,19.89132,74.376929,Grassland,0.563,11.8,0.4,9.4
LC00162,19.8457,74.350105,Forest/Grove,0.256,85.1,5.5,13.9
LC00163,19.822232,74.442644,Agricultural Land,0.341,16.5,2.5,12.0
LC00164,19.920684,74.427998,Wetland,0.724,13.0,28.3,10.6
LC00165,19.927531,74.481622,Agricultural Land,0.942,10.8,3.5,8.3
LC00166,19.90214,74.422079,Urban/Built-up,0.826,18.3,0.2,50.5
LC00167,19.922861,74.470986,Grassland,0.225,5.3,3.0,7.3
LC00168,19.897006,74.509545,Grassland,0.547,0.7,4.2,11.0
LC00169,19.841469,74.586835,Agricultural Land,0.788,9.0,1.9,11.5
LC00170,19.880884,74.372854,Forest/Grove,0.591,67.4,7.4,0.7
LC00171,19.835346,74.373964,Agricultural Land,0.695,5.8,0.1,11.6
LC00172,19.894252,74.566982,Urban/Built-up,0.712,6.3,5.4,91.8
LC00173,19.810307,74.491223,Agricultural Land,0.108,3.5,1.4,7.4
LC00174,19.834412,74.589486,Grassland,0.688,7.3,3.4,1.7
LC00175,19.937807,74.50052,Barren/Fallow,0.549,17.4,5.2,7.2
LC00176,19.842184,74.456197,Agricultural Land,0.549,7.7,4.0,4.2
LC00177,19.945563,74.525663,Urban/Built-up,0.589,12.0,0.8,88.4
LC00178,19.871759,74.364859,Grassland,0.079,6.2,1.5,14.1
LC00179,19.822261,74.583396,Forest/Grove,0.548,76.5,8.0,1.1
LC00180,19.857614,74.554121,Agricultural Land,0.589,2.3,1.5,2.7
LC00181,19.835463,74.383999,Urban/Built-up,0.569,10.8,0.5,64.0
LC00182,19.891827,74.421765,Wetland,0.227,19.5,40.6,7.2
LC00183,19.888432,74.532932,Agricultural Land,0.414,8.1,1.1,5.4
LC00184,19.855967,74.468715,Water Body,0.14,13.8,78.0,1.9
LC00185,19.872526,74.439774,Agricultural Land,0.935,19.6,1.2,14.3
LC00186,19.918095,74.41545,Agricultural Land,0.345,2.6,6.1,10.6
LC00187,19.890386,74.382357,Agricultural Land,0.648,10.3,1.7,1.6
LC00188,19.935273,74.580928,Forest/Grove,0.708,76.9,5.8,11.6
LC00189,19.914306,74.453522,Forest/Grove,0.665,42.8,2.6,2.0
LC00190,19.885639,74.364544,Agricultural Land,0.741,0.9,5.4,10.7
LC00191,19.914014,74.517998,Agricultural Land,0.297,17.9,5.7,3.8
LC00192,19.817682,74.440747,Forest/Grove,0.216,56.6,1.9,13.4
LC00193,19.840841,74.418521,Grassland,0.199,8.3,4.2,9.2
LC00194,19.938682,74.530197,Grassland,0.858,5.3,5.8,13.6
LC00195,19.865784,74.388675,Agricultural Land,0.427,19.5,2.5,3.6
LC00196,19.86206,74.40514,Agricultural Land,0.225,1.8,2.9,12.9
LC00197,19.853982,74.387266,Wetland,0.679,14.9,40.7,1.2
LC00198,19.903199,74.545366,Agricultural Land,0.655,5.8,5.6,2.1
LC00199,19.915932,74.433631,Agricultural Land,0.494,5.1,2.8,11.0
LC00200,19.942859,74.550761,Agricultural Land,0.582,6.7,7.3,6.1
LC00201,19.94907,74.358476,Forest/Grove,0.664,52.2,6.0,11.0
LC00202,19.8159,74.545489,Urban/Built-up,0.532,17.1,6.9,55.7
LC00203,19.920083,74.354181,Agricultural Land,0.039,7.3,3.4,13.0
LC00204,19.890526,74.428969,Agricultural Land,0.714,2.3,7.5,2.3
LC00205,19.848343,74.447587,Agricultural Land,0.418,11.2,7.7,4.0
LC00206,19.812177,74.466807,Agricultural Land,0.421,13.7,3.8,14.0
LC00207,19.893281,74.567951,Forest/Grove,0.134,85.9,0.6,8.0
LC00208,19.849375,74.461927,Agricultural Land,0.417,13.3,7.1,10.7
LC00209,19.819385,74.470366,Agricultural Land,0.42,6.0,1.2,9.6
LC00210,19.80817,74.596065,Agricultural Land,0.098,16.7,5.6,3.1
LC00211,19.823937,74.468261,Grassland,0.792,18.1,7.7,3.5
LC00212,19.848109,74.413275,Urban/Built-up,0.685,9.1,2.4,62.7
LC00213,19.821182,74.456584,Urban/Built-up,0.433,13.5,5.1,71.5
LC00214,19.86465,74.415293,Grassland,0.691,1.1,4.4,3.2
LC00215,19.836922,74.425424,Agricultural Land,0.675,1.9,4.4,3.4
LC00216,19.828721,74.528018,Urban/Built-up,0.393,19.4,0.9,56.8
LC00217,19.859034,74.420866,Agricultural Land,0.455,16.0,0.1,2.4
LC00218,19.821119,74.449584,Agricultural Land,0.534,8.7,1.6,9.2
LC00219,19.934993,74.464117,Barren/Fallow,0.665,8.8,3.2,2.1
LC00220,19.916841,74.573983,Agricultural Land,0.048,1.2,7.8,7.4
LC00221,19.917634,74.35257,Agricultural Land,0.806,18.7,0.9,7.3
LC00222,19.937886,74.41655,Agricultural Land,0.875,11.9,3.0,2.5
LC00223,19.803834,74.493286,Grassland,0.641,1.0,2.1,5.5
LC00224,19.861066,74.425311,Agricultural Land,0.59,18.5,0.2,14.0
LC00225,19.846923,74.414431,Agricultural Land,0.198,1.7,2.8,14.1
LC00226,19.87828,74.599022,Grassland,0.638,3.6,5.9,5.6
LC00227,19.891772,74.440991,Agricultural Land,0.83,18.1,5.7,5.3
LC00228,19.80513,74.473978,Grassland,0.868,9.0,1.1,14.5
LC00229,19.894921,74.454856,Agricultural Land,0.079,13.6,0.9,1.0
LC00230,19.882558,74.352848,Barren/Fallow,0.66,2.9,0.3,0.8
LC00231,19.940062,74.394672,Grassland,0.474,5.2,7.1,5.9
LC00232,19.818713,74.430575,Barren/Fallow,0.212,5.9,2.6,0.2
LC00233,19.804685,74.569127,Wetland,0.276,6.8,41.8,13.4
LC00234,19.830553,74.542783,Agricultural Land,0.197,1.2,4.1,14.9
LC00235,19.826938,74.539103,Forest/Grove,0.649,62.8,1.8,14.5
LC00236,19.823449,74.400364,Grassland,0.393,5.3,0.1,10.9
LC00237,19.890274,74.402982,Agricultural Land,0.583,10.7,6.8,6.4
LC00238,19.807225,74.57065,Agricultural Land,0.63,3.6,6.9,1.9
LC00239,19.813192,74.496276,Agricultural Land,0.293,4.5,6.1,13.1
LC00240,19.827472,74.393806,Agricultural Land,0.664,0.2,3.5,0.6
LC00241,19.820452,74.531732,Urban/Built-up,0.208,0.7,5.9,89.1
LC00242,19.837541,74.410879,Barren/Fallow,0.5,17.1,7.8,9.9
LC00243,19.855808,74.425234,Barren/Fallow,0.114,4.2,5.4,6.8
LC00244,19.935306,74.431465,Agricultural Land,0.976,19.0,2.7,3.4
LC00245,19.874333,74.374927,Agricultural Land,0.144,0.4,2.1,14.6
LC00246,19.80625,74.457319,Urban/Built-up,0.609,17.7,7.8,74.1
LC00247,19.885721,74.481798,Agricultural Land,0.334,18.2,1.6,11.8
LC00248,19.82206,74.414922,Agricultural Land,0.822,5.7,6.8,14.9
LC00249,19.842767,74.355337,Grassland,0.485,19.4,0.4,12.5
LC00250,19.932243,74.470668,Urban/Built-up,0.265,2.7,2.6,94.8
LC00251,19.892369,74.58144,Water Body,0.517,19.1,90.9,5.3
LC00252,19.81795,74.581165,Wetland,0.496,12.8,55.5,4.7
LC00253,19.819505,74.480705,Agricultural Land,0.667,13.4,7.4,14.9
LC00254,19.943539,74.415655,Grassland,0.212,5.1,7.2,1.9
LC00255,19.826838,74.358938,Agricultural Land,0.653,6.7,2.1,1.3
LC00256,19.910934,74.387557,Agricultural Land,0.607,2.5,5.6,5.1
LC00257,19.869053,74.501767,Agricultural Land,0.801,9.8,5.6,14.4
LC00258,19.866839,74.375428,Forest/Grove,0.277,88.9,1.4,0.1
LC00259,19.863976,74.475251,Urban/Built-up,0.664,8.8,0.2,100.0
LC00260,19.827509,74.387437,Urban/Built-up,0.411,17.4,4.6,99.5
LC00261,19.857976,74.455764,Forest/Grove,0.766,51.9,0.2,5.3
LC00262,19.842618,74.38765,Wetland,0.397,1.7,29.6,5.1
LC00263,19.834884,74.425212,Agricultural Land,0.86,6.6,3.2,10.9
LC00264,19.914966,74.486149,Agricultural Land,0.627,5.9,0.4,10.1
LC00265,19.895166,74.378775,Barren/Fallow,0.813,6.6,1.9,14.7
LC00266,19.925654,74.430432,Agricultural Land,0.724,10.2,0.4,14.1
LC00267,19.824624,74.368809,Grassland,0.156,5.5,5.8,3.8
LC00268,19.865559,74.554497,Agricultural Land,0.793,18.3,7.6,4.9
LC00269,19.831325,74.499855,Grassland,0.566,9.2,2.9,1.3
LC00270,19.860163,74.416577,Urban/Built-up,0.661,9.6,4.2,97.9
LC00271,19.820594,74.595425,Wetland,0.352,16.7,49.0,10.6
LC00272,19.879578,74.427646,Agricultural Land,0.763,12.7,6.8,8.4
LC00273,19.824935,74.386681,Agricultural Land,0.642,18.4,6.1,12.6
LC00274,19.945246,74.377649,Urban/Built-up,0.651,6.3,5.9,99.2
LC00275,19.877061,74.438822,Forest/Grove,0.22,85.4,1.0,2.8
LC00276,19.848583,74.448308,Wetland,0.645,8.6,46.3,0.2
LC00277,19.917422,74.5064,Grassland,0.314,18.0,7.9,13.6
LC00278,19.807781,74.465158,Agricultural Land,0.548,0.9,5.1,12.0
LC00279,19.943891,74.58876,Urban/Built-up,0.534,16.9,1.7,93.6
LC00280,19.899171,74.391236,Agricultural Land,0.616,12.2,7.0,0.0
LC00281,19.93686,74.410163,Water Body,0.922,11.7,85.1,6.4
LC00282,19.81007,74.469361,Grassland,0.59,10.4,2.4,2.1
LC00283,19.93487,74.445045,Agricultural Land,0.909,10.8,4.2,11.6
LC00284,19.840108,74.419399,Agricultural Land,0.349,11.7,5.0,6.4
LC00285,19.935323,74.373263,Grassland,0.331,12.7,6.7,6.8
LC00286,19.858232,74.552739,Urban/Built-up,0.602,6.4,7.5,94.1
LC00287,19.827677,74.514494,Agricultural Land,0.652,17.3,4.7,8.0
LC00288,19.866618,74.472906,Agricultural Land,0.263,2.0,5.4,3.6
LC00289,19.845908,74.516032,Forest/Grove,0.278,82.3,1.0,4.4
LC00290,19.931435,74.398185,Forest/Grove,0.588,44.4,4.7,12.5
LC00291,19.842857,74.51101,Water Body,0.504,15.7,73.3,9.4
LC00292,19.816776,74.54274,Wetland,0.693,3.6,42.2,10.2
LC00293,19.937128,74.479942,Agricultural Land,0.701,10.1,7.3,5.7
LC00294,19.841555,74.445471,Agricultural Land,0.309,11.1,3.8,10.3
LC00295,19.939535,74.364825,Forest/Grove,0.702,66.5,2.5,6.8
LC00296,19.916075,74.441414,Forest/Grove,0.567,60.2,7.6,11.5
LC00297,19.883305,74.569994,Urban/Built-up,0.344,4.1,7.3,97.2
LC00298,19.882585,74.403735,Urban/Built-up,0.047,9.8,1.8,92.6
LC00299,19.857745,74.476311,Forest/Grove,0.318,67.8,2.8,9.0
LC00300,19.807029,74.390246,Agricultural Land,0.295,5.8,0.3,14.9
LC00301,19.827114,74.466843,Grassland,0.637,18.7,6.0,11.3
LC00302,19.809924,74.573224,Agricultural Land,0.251,9.9,5.0,9.2
LC00303,19.915501,74.42444,Agricultural Land,0.355,14.6,6.8,6.9
LC00304,19.908295,74.593426,Agricultural Land,0.884,1.9,0.9,13.8
LC00305,19.916581,74.400974,Agricultural Land,0.594,3.3,6.2,8.4
LC00306,19.804586,74.450457,Urban/Built-up,0.729,2.8,0.8,95.9
LC00307,19.8259,74.403716,Agricultural Land,0.459,10.7,5.8,12.9
LC00308,19.814515,74.495455,Agricultural Land,0.649,6.2,3.4,10.4
LC00309,19.872389,74.353452,Agricultural Land,0.25,4.5,2.0,8.5
LC00310,19.824928,74.473582,Agricultural Land,0.911,10.0,3.8,7.0
LC00311,19.889965,74.433466,Forest/Grove,0.396,70.5,6.6,8.9
LC00312,19.870198,74.544894,Agricultural Land,0.813,2.3,3.5,7.6
LC00313,19.801581,74.37817,Agricultural Land,0.685,0.4,7.8,7.5
LC00314,19.812851,74.438349,Agricultural Land,0.445,17.5,1.1,14.2
LC00315,19.819886,74.569253,Agricultural Land,0.782,4.3,2.1,4.2
LC00316,19.845875,74.463887,Forest/Grove,0.219,79.2,4.5,13.2
LC00317,19.811657,74.555646,Forest/Grove,0.16,84.0,4.1,1.8
LC00318,19.848944,74.535646,Agricultural Land,0.467,6.8,3.3,9.6
LC00319,19.885855,74.535906,Agricultural Land,0.399,0.8,7.6,6.2
LC00320,19.804061,74.597411,Agricultural Land,0.485,2.4,7.3,11.8
LC00321,19.880352,74.461067,Agricultural Land,0.464,3.3,3.1,1.1
LC00322,19.810102,74.49822,Grassland,0.216,8.2,2.1,0.7
LC00323,19.913739,74.500567,Urban/Built-up,0.85,2.0,6.4,61.0
LC00324,19.800362,74.578793,Agricultural Land,0.488,11.7,1.5,14.2
LC00325,19.881671,74.562424,Forest/Grove,0.465,85.2,7.4,7.2
LC00326,19.894447,74.402747,Barren/Fallow,0.194,14.0,6.4,0.2
LC00327,19.87803,74.363254,Agricultural Land,0.567,1.1,3.9,9.6
LC00328,19.844148,74.393269,Agricultural Land,0.411,1.3,0.7,9.5
LC00329,19.813614,74.593866,Grassland,0.489,15.3,6.9,2.5
LC00330,19.810247,74.388982,Agricultural Land,0.25,11.8,1.8,6.2
LC00331,19.920918,74.488413,Agricultural Land,0.394,9.7,6.8,6.1
LC00332,19.942614,74.404365,Agricultural Land,0.716,11.6,1.0,6.0
LC00333,19.82156,74.379969,Agricultural Land,0.617,17.7,1.6,7.9
LC00334,19.819169,74.488262,Agricultural Land,0.606,1.7,5.1,11.8
LC00335,19.820419,74.505262,Urban/Built-up,0.473,15.3,7.4,60.2
LC00336,19.880508,74.467187,Urban/Built-up,0.823,14.7,5.2,68.7
LC00337,19.894686,74.45064,Urban/Built-up,0.635,2.5,1.7,95.4
LC00338,19.8107,74.462946,Agricultural Land,0.38,8.6,0.4,8.3
LC00339,19.883054,74.459804,Agricultural Land,0.855,6.3,3.2,1.3
LC00340,19.913804,74.366507,Agricultural Land,0.824,8.2,6.6,12.4
LC00341,19.941141,74.520266,Grassland,0.353,10.6,6.5,3.7
LC00342,19.828205,74.356851,Wetland,0.564,9.3,47.9,5.1
LC00343,19.8575,74.536703,Agricultural Land,0.827,8.4,2.9,2.2
LC00344,19.913057,74.534435,Agricultural Land,0.579,12.3,1.4,11.6
LC00345,19.899304,74.52402,Wetland,0.615,13.8,43.3,1.5
LC00346,19.855991,74.452506,Agricultural Land,0.906,16.9,7.5,8.4
LC00347,19.943377,74.565223,Water Body,0.545,5.4,71.8,11.6
LC00348,19.94594,74.434156,Urban/Built-up,0.76,18.2,0.5,61.4
LC00349,19.84366,74.433127,Agricultural Land,0.446,11.4,4.8,11.5
LC00350,19.805437,74.582236,Forest/Grove,0.502,61.6,1.6,14.8
LC00351,19.927206,74.403675,Agricultural Land,0.582,8.9,7.8,2.0
LC00352,19.80388,74.533707,Agricultural Land,0.657,18.2,6.0,14.6
LC00353,19.865322,74.576892,Agricultural Land,0.407,4.2,1.1,7.4
LC00354,19.84785,74.501161,Wetland,0.46,12.2,49.9,13.6
LC00355,19.926241,74.358263,Water Body,0.4,7.3,82.8,7.6
LC00356,19.814968,74.550893,Agricultural Land,0.385,17.1,1.0,6.5
LC00357,19.905392,74.480762,Agricultural Land,0.556,12.0,7.7,14.8
LC00358,19.914364,74.492878,Urban/Built-up,0.432,11.1,4.6,77.3
LC00359,19.913358,74.485141,Grassland,0.183,13.2,1.8,5.6
LC00360,19.904135,74.357352,Wetland,0.385,3.0,37.8,7.3
LC00361,19.928247,74.589236,Agricultural Land,0.165,6.4,3.3,9.0
